1. 失血性休克的“5P”临床表现不正确的是
   A. 儿茶酚胺、肾上腺皮质激素增多，脂肪分解加速
 ->B. 脂肪酸在肝内经α氧化产生大量酮体
   C. 大量有机酸积聚，超过了体液缓冲和代偿能力，发生酸中毒
   D. 糖异生加强，三羧酸循环停滞，血糖升高，酮体积聚
   E. 尿渗透压升高，大量水分和电解质丢失

2175. 重症医学是一门新兴的学科，日益得到重视，其主要原因是其能应用先进的技术设备、对病情进行连续动态的定性定量观察，为重症患者提供规范化的、高质量的生命支持。应用规范化操作可以带来很多益处，以下内容错误的是
   A. 提高治疗的成功率
   B. 降低交叉感染
   C. 缩短住院时间
 ->D. 可能增加住院费用
   E. 可改善预后

2176. 伴有支气管哮喘的高血压患者不宜应用
   A. 利尿药
   B. 钙通道阻滞药
   C. α肾上腺素受体阻断药
 ->D. β肾上腺素受体阻断药
   E. 血管紧张素Ⅱ受体阻断药

2177. 心跳呼吸完全停止的伤员，抢救工作应首先
   A. 立即就近转送至医院
   B. 立即补充血容量
   C. 立即查明原因再进行相应的抢救
 ->D. 立即启动急救系统，并开始CPR
   E. 立即建立静脉通道
解析：一旦识别CA应立即启动急救系统并开始CPR。

2178. 下列属于主动转运过程的是
   A. O<sub>2</sub>进入细胞内
 ->B. Ca<sup>2+</sup>由细胞内出来
   C. K<sup>+</sup>由细胞内出来
   D. Na<sup>+</sup>进入细胞
   E. CO<sub>2</sub>从细胞内出来

2179. 重金属中毒时用下列哪一种解毒药效果最好
   A. 依地酸钙钠
   B. 二乙烯三胺五乙酸三钠钙
   C. 二巯丙醇
   D. 二巯丙磺钠
 ->E. 二巯丁二钠

2180. 位于颅中窝的是
   A. 筛孔
 ->B. 视神经管
   C. 颈静脉孔
   D. 内耳门
   E. 舌下神经管

2181. 关于免疫球蛋白正确的是
 ->A. 有抗体作用，也可作为抗原
   B. 不能作为抗原，只有保护作用
   C. 是抗原和球蛋白的产物
   D. 都是抗体
   E. C+D

2182. 与类风湿因子特异性结合的是
   A. 自身IgG分子
   B. 自身IgM分子
   C. 自身变性的IgM分子
 ->D. 自身变性IgG分子
   E. 上述选项均不对

2183. 潮气量为500 ml，呼吸频率为12/min，无效腔气量为150 ml，则肺泡通气量约为
   A. 3.5L
 ->B. 4.2L
   C. 5.0L
   D. 6.0L
   E. 6.8L

2184. 心输出量↑，中心静脉压↑，外周阻力↓可见于
 ->A. 高动力型休克
   B. 低血容量性休克
   C. 心源性休克
   D. 过敏性休克
   E. 以上均不是
解析：创伤、失血或烧伤休克患者多因容量缺失及机体代偿，出现心输出量减少，早期循环阻力增加。心源性休克则为低排高阻性，感染性休克早期主要表现为高排低阻性休克。

2185. 新生儿Apgar评分不包括以下哪项
   A. 皮肤颜色
 ->B. 羊水颜色
   C. 弹足底或插鼻管反应
   D. 肌张力
   E. 心率、呼吸

2186. 院前指数不包括的是
   A. 呼吸
   B. 收缩压
   C. 神志
   D. 脉率
 ->E. 平均动脉压

2187. 一氧化碳的中毒作用机制描述不正确的是
   A. 与血红蛋白结合生成HbCO
   B. 与血红蛋白结合影响HbO的解离
   C. 发病2天内测定HbCO
   D. 与线粒体细胞色素氧化酶a3结合
 ->E. 与肌红蛋白结合，损害线粒体功能

2188. 下列哪一项口服中毒后，会出现“肠源性发绀”
   A. 砒霜中毒
 ->B. 亚硝酸盐中毒
   C. 有毒蘑菇中毒
   D. 有机磷杀虫剂中毒
   E. 杀鼠剂（敌鼠）中毒

2189. 老年男性，76岁，因“发热、咳嗽、咳痰1个月”入院。胸部X线示左上肺致密阴影伴空洞和液平。诊断左上肺脓肿，阻塞性可能，不排除结核可能，下列处理哪项是不合理的
 ->A. 试验性抗菌联合抗结核治疗
   B. 痰细菌学和病理学检查
   C. 纤维支气管镜检查
   D. 体层摄片了解有无支气管阻塞
   E. 积极的经验性抗菌治疗

2190. 关于缩血管神经纤维的叙述，错误的是
   A. 都属于交感神经纤维
   B. 去甲肾上腺素与α肾上腺素能受体结合，可导致血管平滑肌收缩
   C. 去甲肾上腺素与β肾上腺素能受体结合，可导致血管平滑肌舒张
   D. 兴奋时，引起缩血管效应
 ->E. 体内几乎所有的血管都受交感缩血管纤维和副交感舒血管纤维双重支配

2191. 诊断低钠血症指血清钠少于
   A. 115 mmol/L
   B. 120 mmol/L
   C. 125 mmol/L
 ->D. 130 mmol/L
   E. 140 mmol/L

2192. 医务人员带菌率高并易造成医源性感染，最常见的病菌是
   A. 痢疾杆菌
   B. 结核杆菌
 ->C. 葡萄球菌
   D. 大肠埃希菌
   E. 铜绿假单胞菌

2193. 关于雌激素的生理作用的叙述，错误的是
   A. 使输卵管平滑肌活动增强
   B. 促进阴道上皮细胞增生
 ->C. 促进子宫内膜增生出现分泌期变化
   D. 促进乳腺发育
   E. 高浓度的雌激素有导致水、钠潴留的趋势

2194. 心搏骤停处理原则中下列哪项正确
   A. 需心电图证实后方施行CPR
   B. 心音消失是诊断心搏骤停的必备条件
 ->C. 意识消失及大动脉搏动消失是诊断心搏骤停的必备条件
   D. 早期复苏只需胸外按压
   E. 以上都不对

2195. 河豚毒素是一种
   A. 麻醉剂
   B. 腐蚀剂
 ->C. 神经毒
   D. 内毒素
   E. 溶血毒素

2196. 阻力血管主要是指
   A. 大动脉
 ->B. 小动脉及微动脉
   C. 毛细血管
   D. 小静脉
   E. 大静脉

2197. 压力感受性反射的生理意义是
   A. 维持有效循环血量
   B. 有效降低动脉血压
   C. 维持动脉血压的长期恒定
 ->D. 维持动脉血压的相对恒定
   E. 维持血压处于较高水平

2198. 实施心肺复苏时，每次胸部按压，压下的时间应占整个周期的
   A. 30%
   B. 40%
 ->C. 50%
   D. 60%
   E. 70%

2199. 以下哪项是MODS呼吸支持的重点
   A. 增加氧供
   B. 降低氧耗
 ->C. 防治ARDS
   D. 改善通气
   E. 防治呼吸机相关性肺炎

2200. 关于解剖学姿势的不正确描述是
   A. 上肢下垂、手掌向前
   B. 两眼向前平视
   C. 足尖朝向前
   D. 身体直立
 ->E. 两脚分开

2201. 抑制细胞壁合成的抗生素是
 ->A. 头孢菌素
   B. 磺胺
   C. 异烟肼
   D. 红霉素
   E. 罗红霉素

2202. 以下有关中心静脉导管相关感染的临床处理，不合适的是
 ->A. 中心静脉导管合并金黄色葡萄球菌感染，不合并低血压或脏器功能衰竭时，可选择保留导管或原位使用导丝更换导管
   B. 怀疑中心静脉导管相关感染导致的发热，同时合并严重疾病状态时应当立即拔除导管
   C. 怀疑中心静脉导管相关感染导致的发热，同时合并穿刺部位的脓肿时应当立即拔除导管
   D. 根据临床症状怀疑中心静脉导管相关感染，暂无病原学证据，患者仅发热，不合并低血压或脏器功能衰竭时，可以选择保留导管或原位使用导丝更换导管
   E. 怀疑中心静脉导管相关感染时，无论拔出导管与否，均应留取两份血液样本进行定量或半定量培养（一份来自导管内、一份来自外周静脉血），以便提高确诊率

2203. 左心衰竭最早出现的症状为
   A. 白色浆液性泡沫痰
 ->B. 劳力性呼吸困难
   C. 夜间阵发性呼吸困难
   D. 急性肺水肿
   E. 尿量减少

2204. 成年人腺垂体功能减退最常见原因是
   A. 垂体出血坏死
 ->B. 垂体瘤
   C. 长期使用糖皮质激素
   D. 颅内感染
   E. 下丘脑病变

2205. 心肺复苏用药首选
   A. 阿托品
 ->B. 肾上腺素
   C. 胺碘酮
   D. 去甲肾上腺素
   E. 异丙肾上腺素

2206. 中暑发病的主要原因是
   A. 体内产热过多
   B. 散热障碍
   C. 体温调节中枢功能障碍
 ->D. 不能充分适应高温环境
   E. 环境高温、高湿度及通风不良

2207. 低温在脑保护策略作用的机制是
   A. 减轻脑血管痉挛，改善微循环
   B. 减轻对脑组织、血管内皮细胞和神经细胞的氧化损伤
   C. 改善微循环，建立侧支循环
 ->D. 降低脑代谢和脑氧耗，延缓ATP耗竭，减少乳酸生成，减轻酸血症
   E. 改善脑组织氧供，减轻脑水肿

2208. 下列哪一种临床类型不是毒蕈中毒的类型
   A. 胃肠炎型
   B. 神经型
   C. 精神异常型
   D. 溶血型
 ->E. 肾坏死型

2209. CT诊断肺隔离症最有价值的征象是
   A. 下叶后基段类圆形病灶
   B. 下叶后基段不规则病灶
   C. 下叶后基段不规则病灶伴有明显强化
   D. 下叶后基段类圆形病灶，可见肺循环供血
 ->E. 下叶后基段类圆形病灶，可见体循环供血

2210. 急性心肌梗死合并心源性休克的主要表现为
   A. 血压不变，中心静脉压下降
   B. 压下降，四肢干燥、温度低
   C. 双下肢水肿，颈静脉怒张
 ->D. 血压下降，肺毛细血管楔压上升
   E. 血压下降，心率增快

2211. 不属于毒蕈中毒类型的是
   A. 胃肠炎型
   B. 溶血型
   C. 神经精神型
 ->D. 类伤寒型
   E. 肝损伤型

2212. 与能量代谢率的高低基本上成正比的是
   A. 体重
   B. 身高
 ->C. 体表面积
   D. 年龄
   E. 性别

2213. 不属于右心房的结构有
   A. 上腔静脉口
 ->B. 乳头肌
   C. 冠状窦口
   D. 卵圆窝
   E. 下腔静脉口

2214. 诊断静脉血栓的首选客观检查方法是
   A. 放射性核素下静脉显影
   B. CT造影
 ->C. 多普勒血管超声检查
   D. MR静脉造影
   E. 肢体电阻抗容积描记

2215. 《中国ICU重症病人营养支持指导意见》就营养支持问题提出了指导意见，根据此指导意见，下列说法不正确的是
   A. 代谢紊乱贯穿于疾病的始终
   B. 器官功能的衰竭实际上是能量代谢衰竭
 ->C. 不管受损器官的耐受能力如何，应尽早进行营养支持治疗
   D. 在急性应激期遵循“允许性低热量喂养”原则
   E. 尽量避免营养支持相关并发症

2216. 气管内管插管后行胸部X线片检查显示气管内管前端，以什么位置为最佳
   A. 第5颈椎处
   B. 第7颈椎处
 ->C. 第2胸椎处
   D. 第4胸椎处
   E. 第5胸椎处

2217. 关于易化扩散的叙述，错误的是
   A. 有载体介导的跨膜物质转运
   B. 有通道介导的跨膜离子转运
   C. 载体转运具有高度的特异性
   D. 通道的选择性较载体差
 ->E. 类固醇激素进入细胞属易化扩散

2218. 以下关于代谢性酸中毒的防治错误的是
   A. 积极防治原发病
   B. 症状改善，尿量足够，CO<sub>2</sub>CP18 mmol/L以上，可不必再用碱性药物
   C. 严重酸中毒可使用碳酸氢钠或乳酸钠补充HCO<sub>3</sub><sup>-</sup>
 ->D. 代谢性酸中毒的病人往往合并高钾血症，因此严禁补钾
   E. 严重肾衰竭引起的酸中毒，需行透析治疗纠正水、电酸碱平衡。

2219. 可引起纵隔扑动的疾病为
   A. 自发性气胸
   B. 张力性气胸
 ->C. 多根多处肋骨骨折
   D. 肺不张
   E. 大量胸腔积液

2220. 诊断腹腔内脏损伤最有价值的方法是
   A. 超声波检查
 ->B. 腹腔穿刺腹腔灌洗术
   C. 腹部压痛
   D. X线检查
   E. 同位素检查

2221. 微循环中具有调节体温作用的主要是
   A. 直捷通路
 ->B. 动-静脉短路
   C. 真毛细血管
   D. 迂回通路
   E. 微静脉

2222. 预激合并房颤时不能使用的是
 ->A. 洋地黄
   B. 比索洛尔
   C. 胺碘酮
   D. 美托洛尔
   E. 普罗帕酮

2223. 需行气管插管和胸腔闭式引流术的是
   A. 单纯性肋骨骨折
   B. 多发性肋骨骨折
 ->C. 多发性肋骨骨折伴血气胸
   D. 开放性肋骨骨折
   E. 自发性气胸

2224. 下列检验结果符合毒性弥漫性甲状腺肿（GD）的是
   A. TRH升高
   B. TSH升高
   C. TSH升高，TSAb阳性
   D. TSAb阴性
 ->E. TSAb阳性，TSH降低

2225. 对面静脉不准确的描述是
   A. 借内眦静脉和眼上静脉与颅内海绵窦交通
   B. 口角平面以上无静脉瓣
   C. 收纳面前部软组织的静脉血
   D. 注入下颌后静脉
 ->E. 注入颈内静脉

2226. 电击伤的临床表现不包括
   A. 头晕、心悸、乏力
   B. 昏迷，心跳、呼吸骤停
 ->C. 感染中毒性休克
   D. 组织灼伤、肢体坏死
   E. 常合并外伤

2227. 菌毛是细菌的
 ->A. 黏附结构
   B. 致密结构
   C. 多糖质
   D. 纤丝状结构
   E. 运动器官

2228. 复苏后综合征病理生理改变包括哪些方面内容
   A. 心搏骤停后脑损伤
   B. 心搏骤停后心肌功能障碍
   C. 全身性缺血
   D. 复苏后再灌注损伤反应
 ->E. 以上都是

2229. 妊娠期高血压疾病孕妇，妊娠晚期时出现腹痛伴阴道出血，最可能的诊断是
 ->A. 胎盘早剥
   B. 妊娠合并子宫颈息肉
   C. 前置胎盘
   D. 子宫破裂
   E. DIC

2230. 心肺脑复苏是指
   A. 针对心搏、呼吸骤停所采取的抢救措施
   B. 针对心搏、呼吸骤停所采取的抢救措施，尤其是脑保护措施
 ->C. 针对心搏、呼吸骤停所采取的抢救措施，尤其是脑保护措施及脑复苏措施
   D. 维持充分的脑灌注、维持正常的PaCO<sub>2</sub>
   E. 轻度低温疗法

2231. 下列细胞中哪种不属于炎症细胞
   A. 淋巴细胞
   B. 粒细胞
   C. 肥大细胞
 ->D. 上皮细胞
   E. 肥大细胞及上皮细胞

2232. 单侧多根多处肋骨骨折最严重的生理改变是
   A. 疼痛、呼吸运动减弱
 ->B. 胸壁软化，反常呼吸
   C. 咳嗽，血痰
   D. 严重皮下气肿
   E. 出血，休克

2233. 血压监测器显现患者的血压为76/40 mmHg，此时正确的处置为
   A. 立即以生理盐水250～500 ml快速输注
   B. 给予多巴胺5μg/（kg·min）静脉滴注，再依血压调整
   C. 用血压计再测量1次血压，以便决定后续治疗
 ->D. 立即检查患者的桡动脉及股动脉搏动，以便决定后续对策
   E. 立即予去甲肾上腺素1 mg

2234. 对一昏迷患者判断其是否心跳停止最迅速有效的指标是
   A. 呼吸停止
   B. 血压下降
   C. 瞳孔散大
 ->D. 无大动脉搏动
   E. 面色苍白
解析：心搏骤停时大动脉搏动消失，如大动脉（颈内、股动脉）无法触及，应立即启动急救系统并开始CPR。

2235. 肺泡呼吸面积减少到何种程度，就会因弥散障碍而导致呼吸衰竭
   A. 1/6以上
   B. 1/5以上
   C. 1/4以上
   D. 1/3以上
 ->E. 1/2以上

2236. 下列哪一类细胞产生IgG
   A. T淋巴细胞
 ->B. B淋巴细胞
   C. 巨噬细胞
   D. 嗜碱性粒细胞
   E. NK细胞

2237. 以下是经鼻气管插管的禁忌证，但不包括
   A. 鼻中隔偏曲
   B. 颅底骨折
 ->C. 口腔手术
   D. 凝血功能障碍
   E. 鼻外伤骨折

2238. 下面哪种机械通气模式是“定容”型通气
   A. 压力辅助通气P-ACV
   B. 压力支持通气PSV
 ->C. 同步间歇指令通气SIMV
   D. 压力控制-同步间歇指令通气PC-SIMV
   E. 压力控别通气PCV

2239. 在下列药物中，治疗厌氧菌感染应选用
   A. 庆大霉素
   B. 头孢氨苄
 ->C. 甲硝唑
   D. 美西林
   E. 氨曲南

2240. 杀灭细菌芽孢最常用、最有效的方法是
   A. 紫外线照射
   B. 干烤灭菌法
   C. 间歇灭菌法
   D. 煮沸法
 ->E. 高压蒸汽灭菌法

2241. 疑为白喉患者的最佳取材部位为
   A. 血液
   B. 淋巴液
   C. 假膜深处
   D. 假膜表面
 ->E. 假膜边缘

2242. 下列哪种情况无需进行联合药敏试验
   A. 对单一抗菌药物不敏感
   B. 对某抗菌药仅轻度敏感，该药有毒性不能大量应用
   C. 某抗菌药大量使用，但在血中无法达到有效浓度
   D. 延长耐药菌株的产生
 ->E. 对某抗菌药敏感

2243. O<sub>2</sub>对呼吸的调节途径主要是通过
   A. 直接兴奋延髓吸气神经元
   B. 直接兴奋脑桥调整中枢
   C. 直接刺激呼吸中枢
 ->D. 外周化学感受器所实现的反射性效应
   E. 刺激中枢化学感受器而兴奋呼吸中枢

2244. 不属于左心室的结构有
   A. 肉柱
   B. 二尖瓣
   C. 乳头肌
 ->D. 肺动脉口
   E. 主动脉口

2245. 对胃酸分泌有抑制作用的是
   A. 乙酰胆碱
   B. 组胺
   C. 促胃液素
 ->D. 生长抑素
   E. 肠泌酸素

2246. 有关电击伤及闪电击伤的描述，下列哪项正确
   A. 闪电击伤因伏特电压极高，死亡率亦较高
 ->B. 闪电击伤原理类似直流电
   C. 电击伤和闪电击伤的静脉输液原则相同
   D. 高伏特闪电休克常造成冠状动脉痉挛产生心室颤动而死亡
   E. 闪电击伤多见肌肉坏死

2247. 多器官功能障碍综合征时肺的病理组织学变化中下列哪一项不存在
   A. 肺泡上皮皱缩
   B. 肺毛细血管管腔缩小
 ->C. 血管内皮细胞脱落
   D. 中性粒细胞脱颗粒
   E. 肺毛细血管内细胞黏附

2248. 某发热患者体温在39℃以上，每日波动2～2.5℃，最低温度37.6℃，应诊断为
   A. 稽留热
   B. 间歇热
   C. 波状热
 ->D. 弛张热
   E. 回归热

2249. 急性肝功能衰竭病理生理变化，哪一项错误
   A. 物质代谢、胆汁胆红素代谢紊乱
 ->B. 体内性激素、醛固酮减少
   C. 毒素蓄积，形成内毒素血症
   D. 可启动全身炎症反应
   E. 严重时可导致多脏器功能障碍综合征

2250. 解除舌根后坠堵塞呼吸道的简便方法
   A. 环甲膜穿刺术
 ->B. 口咽管放置术
   C. 经鼻腔气管插管术
   D. 经口腔气管插管术
   E. 气管切开术

2251. 有创伤性动脉压波形分为升支、降支、重搏波，其中升支表示
 ->A. 心室快速射血进入主动脉
   B. 血液经大动脉流向外周
   C. 收缩压
   D. 舒张压
   E. 平均动脉压

2252. 下面哪种急性中毒其治疗首选血液透析
   A. 短效巴比妥类中毒
   B. 格鲁米特中毒
   C. 有机磷杀虫剂中毒
 ->D. 氯酸盐、重铬酸盐中毒
   E. 杀虫剂中毒

2253. 下列扩血管物质中作用最强的是
   A. 组胺
   B. 激肽
 ->C. 内皮源性舒张因子
   D. 前列腺素I2
   E. 腺苷

2254. 有关氧中毒正确的是
   A. 氧中毒肺损害多发生于吸高浓度氧24小时内
   B. 氧中毒视网膜病变多发生于老年患者
   C. 高浓度吸氧对中枢神经系统无明显损害
 ->D. 高浓度吸氧可引起肺不张
   E. 中枢神经病变多发于常压氧疗

2255. 呼吸衰竭通常是指
   A. 空气中氧含量过低的结果
   B. 血液运输氧的能力降低
 ->C. 外呼吸功能障碍的结果
   D. 内呼吸功能障碍的结果
   E. 呼吸系统病变造成机体缺氧

2256. 中心静脉导管不包括
   A. 颈内静脉导管
 ->B. 颈外静脉导管
   C. 股静脉导管
   D. 锁骨下静脉导管
   E. 颈内和颈外静脉导管
解析：B项中的颈外静脉不属于中心静脉。ACD均为中心静脉，故不选。E中提到颈内静脉和颈外静脉导管，其中颈内静脉属于中心静脉，故也不选。

2257. 右心衰竭体循环淤血的表现是
   A. 端坐呼吸
   B. 心源性哮喘
   C. 劳力性呼吸困难
   D. 夜间阵发性呼吸困难
 ->E. 肝颈静脉反流征阳性
解析：右心衰竭体循环淤血时，会有水肿、颈静脉征、肝大和心脏体征。肝颈静脉反流征阳性则更具有特征性。故选E。而端坐呼吸、心源性哮喘、劳力性呼吸困难和夜间阵发性呼吸困难属于左心衰竭的症状。左心衰竭以肺淤血及心输出量降低表现为主，右心衰竭以体静脉淤血的表现为主。

2258. 银环蛇咬伤致死的主要原因是
   A. 循环衰竭
   B. DIC
 ->C. 呼吸衰竭
   D. 肾衰竭
   E. 肝功能衰竭

2259. 关于氮平衡描述正确的是
   A. 氮代谢物主要以随粪便排出为主
   B. 分解代谢为主时，机体处于正氮平衡
   C. 饮食对氮平衡无影响
   D. 尿液对氮平衡无影响
 ->E. 留置胃管引流对氮平衡有影响

2260. 以下有关低钾血症的常见原因错误的是
   A. 水中毒
   B. 大量的呕吐、腹泻
 ->C. 大量溶血
   D. 急性肾衰竭多尿期
   E. 代谢性碱中毒

2261. 鼻出血现场简易止血方法错误的是
   A. 可嘱患者用手指紧捏紧两侧鼻翼10～15
   B. 指压期间用冷水袋或湿毛巾敷前额及后颈
   C. 松指后如仍出血，可用浸以1%麻黄碱生理盐水的棉片塞入鼻腔止血
 ->D. 指压期间用热水袋或热毛巾敷前额及后颈
   E. 松指后如仍出血可用浸以0.1%肾上腺的棉片塞入鼻腔止血

2262. 关于自发性气胸，以下哪项是错误的
   A. 自发性气胸是指非人工因素导致脏层胸膜和肺泡破裂，肺内气体通过裂口进入胸膜腔而产生的气胸
   B. 自发性气胸是指创伤因素导致脏层胸膜和肺泡破裂，肺内气体通过裂口进入胸膜腔而产生的气胸
 ->C. 外伤造成壁层胸膜破裂，外面空气通过裂口进入胸膜腔而产生的气胸
   D. 按病因自发性气胸可分为：原发性气胸和继发性气胸
   E. 按胸膜裂口自发性气胸可分为：闭合性气胸、开放性气胸和张力性气胸

2263. 一电焊工因眼睛剧烈疼痛求诊，怀疑光照角膜炎，下列哪项叙述不正确
 ->A. 当电焊工未戴护目镜工作累积1～2h会立即发作
   B. 检查可见视力下降、结膜充血、角膜点状病灶
   C. 常需口服止痛药治疗
   D. 给予扩瞳眼药水、抗生素药膏治疗
   E. 双眼严重病灶时予以双眼包扎，可以改善疼痛

2264. 有关于破伤风的叙述以下何者错误
 ->A. 发生感染时可给予破伤风类毒素治疗
   B. 由破伤风外毒素所引起
   C. 怀孕者亦可给予破伤风抗毒素及破伤风免疫人体球蛋白
   D. 细菌培养阳性率低，可先给予青霉素治疗
   E. 注射破伤风免疫人体球蛋白可提供维持4周的抗体

2265. 属于氨基糖苷类抗生素的是
   A. 万古霉素
   B. 红霉素
 ->C. 妥布霉素
   D. 氯霉素
   E. 青霉素

2266. 下列哪项不是心肺复苏成功的指标
   A. 可触及大动脉搏动
   B. 恢复自主呼吸
 ->C. 瞳孔散大
   D. 皮肤颜色
   E. 温度改善

2267. 支气管肺泡灌洗液细菌培养，一般以下列哪一项作为确定感染的阈值（cfu/ml）
   A. ≥107cfu/ml
   B. ≥106cfu/ml
 ->C. ≥105cfu/ml
   D. ≥104cfu/ml
   E. ≥103cfu/ml

2268. 支气管哮喘与心源性哮喘不能鉴别时，宜用
   A. 沙丁胺醇
 ->B. 氨茶碱
   C. 毛花苷C
   D. 地塞米松
   E. 哌替啶

2269. 活性炭吸附不佳的毒药物为
   A. 对乙酰氨基酚
   B. 茶碱
   C. 苯二氮类
 ->D. 锂
   E. 阿米替林

2270. 下列哪项不属于预防或保护性临时起搏
   A. 冠状动脉造影及介入性导管治疗
   B. 心律不稳定患者在安置永久性心脏起搏器或更换起搏器时
 ->C. 急性心肌梗死引起的房室传导阻滞、严重窦性心动过缓
   D. 心动过缓或无心动过缓但心电图有双束支阻滞，须接受全麻及手术者
   E. 不完全性三分支阻滞，须接受全麻及手术者

2271. 未合并器质性心脏病的室性期前收缩采用抗心律失常药物治疗的主要目的是
   A. 减少期前收缩次数
   B. 消灭期前收缩
 ->C. 缓解症状
   D. 改善预后
   E. 以上均不是

2272. 分泌黄体生成素的器官是
   A. 胸腺
   B. 胰腺
   C. 白体
   D. 垂体
 ->E. 卵巢

2273. 下面哪种情况不适合机械通气治疗
   A. 吉兰-巴雷综合征
   B. ARDS
 ->C. 未行闭式引流的气胸
   D. 多发肋骨骨折致连枷胸
   E. 脑干出血

2274. 心输出量减少、外周阻力升高不是下列哪种类型休克的血液动力学特点
   A. 心源性休克
   B. 感染性休克
 ->C. 过敏性休克
   D. 失血性休克
   E. 创伤性休克
解析：过敏性休克表现为低排低阻性休克。

2275. 肺动脉楔压>15 mmHg提示
   A. 血容量不足
   B. 血容量正常
   C. 有发生右心功能不全的危险
 ->D. 有发生肺水肿的危险
   E. 可快速补液

2276. 下列不是中心静脉导管时置管并发症的是
   A. 心律失常
 ->B. 血栓形成和栓塞
   C. 气胸
   D. 空气栓塞
   E. 导管打结

2277. 高血压危象临床表现正确的是
   A. 一定有原发性高血压病史
   B. 危象发生时一定出现恶心、呕吐
   C. 舒张压>120 mmHg和收缩压>220 mmHg
 ->D. 高血压危象时可出现不稳定型心绞痛或急性心肌梗死
   E. 血压升高的绝对值比血压升高的比率更有价值

2278. 正常调节每搏输出量多少的决定因素是
   A. 心肌收缩力
 ->B. 静脉回心血量
   C. 动脉血压
   D. 静脉血压
   E. 心率

2279. 引起上消化道大出血常见病因不包括
   A. 胃、十二指肠溃疡
   B. 食管-胃底曲张静脉破裂
   C. 急性胃黏膜糜烂
   D. 慢性胃炎
 ->E. 上消化道血管畸形

2280. 促进间质细胞分泌睾酮的激素是
 ->A. 黄体生成素
   B. 促卵泡激素
   C. 促性腺激素释放激素
   D. 雄烯二酮
   E. 双氢睾酮

2281. 开放式ICU病床每床的占地面积应有
 ->A. 15～18 m<sup>2</sup>
   B. 10～14 m<sup>2</sup>
   C. 20～25 m<sup>2</sup>
   D. 至少20 m<sup>2</sup>
   E. 至少15 m<sup>2</sup>
解析：ICU开放式病床每床的占地面积为15～18 m<sup>2</sup>；ICU最好的是单间或分隔式病房，若没有条件，则每个ICU最少配备一个单间病房，面积为18～25 m<sup>2</sup>，另外最好有1～2间负压隔离病房。

2282. 心脏性猝死最常见的病因是
   A. 心肌病
 ->B. 冠心病
   C. 恶性心律失常
   D. 急性泵衰竭
   E. 病态窦房结综合征

2283. 乳腺癌最严重的局部表现是
   A. 乳头内陷、偏向一侧
   B. 乳头湿疹样改变
 ->C. 皮肤红肿、炎症样改变
   D. 局部皮肤凹陷，呈“酒窝征”
   E. 皮肤呈橘皮样改变

2284. 58岁男性，有COPD病史，因渐进性呼吸困难就诊。到院时血压150/93 mmHg，脉搏112/min，呼吸24/min，体温37.9℃ ，SpO<sub>2</sub>91%。急诊医师在下列哪种情形下最不应考虑使用无创通气
 ->A. 该患者病情恶化致呼吸停止
   B. 该患者动脉血PaCO<sub>2</sub>达60 mmHg，且pH7.30
   C. 该患者呼吸困难，已须使用呼吸辅助机呼吸
   D. 该患者呼吸困难，已有腹式呼吸
   E. 该患者病情恶化致呼吸速率已达28/min

2285. 下列哪组均可引起双侧瞳孔缩小
 ->A. 有机磷毒物、阿片类、氯丙嗪
   B. 有机磷毒物、抗胆碱药、氯丙嗪
   C. 有机磷毒物、阿片类、苯丙胺类
   D. 抗组胺类、阿片类、氯丙嗪
   E. 原发性脑桥出血、脑室出血、脑疝后期

2286. 关于高血压危象下列说法不正确的是
   A. 可有头痛、烦躁、恶心、呕吐、心悸、气急等症状
   B. 颅内出血通常是致命性并发症
   C. 紧张、疲劳、寒冷、突然停药可诱发
   D. 选择作用迅速的静脉降压药物
 ->E. 血压必须在1～2小时降至正常水平

2287. 下列不是电复律的禁忌证的是
   A. 左心房大伴高度或完全性AVB的心房颤动、心房扑动，有栓塞发生的高危险性的患者
   B. 低血钾和洋地黄中毒者
   C. 伴SSS的异位快速心律失常
 ->D. 新发心房颤动伴有血流动力学障碍，未经药物治疗者
   E. 不能耐受转复后长期抗心律失常药物治疗者

2288. 急性一氧化碳中毒时，主要的治疗方法是
   A. 予以亚甲蓝解毒
 ->B. 氧气吸入或高压氧治疗
   C. 冬眠疗法
   D. 输全血
   E. 静脉注射硫酸钠

2289. 关于感染性休克的诊断错误的是
   A. 体温过高（>38.3℃）或过低（<36℃）
   B. 非神经系统感染而出现神志改变，如表情淡漠或烦躁不安
   C. 伴低氧血症和（或）血浆乳酸浓度增高
 ->D. 胸部X线摄片明显异常表现
   E. 尿量减少[<0.5 ml/（kg·h）]

2290. 器官组织水平的机体氧代谢监测指标，不包括以下哪项
 ->A. 心排血量
   B. 动脉血乳酸
   C. 动静脉二氧化碳分压差和pH差
   D. 器官功能
   E. 黏膜pH

2291. 导管法监测颅内压把导管置于
   A. 硬膜下
   B. 硬膜外
   C. 脑实质
   D. 蛛网膜下腔
 ->E. 脑室

