1. 肾细胞癌的典型声像图特征是
 ->A. 纵切可见两个子宫、宫颈、阴道回声
 ->B. 两侧子宫狭长，左右对称
   C. 横切子宫体呈平角形，宫腔线呈分叶状
 ->D. 宫颈较宽呈哑铃状，可见两个宫颈管回声
 ->E. 阴道较宽，可见两个气体线

304. 患者，男，35岁，临床诊断急性骨髓炎，其表现是
   A. 骨质中出现边缘不清楚、外形不规则的高回声区，内部夹杂斑点样强回声
   B. 早期容易探查到的征象是骨膜下脓肿形成的带状无回声区，骨膜被掀起呈拱形抬高，无增厚改变
 ->C. 软组织肿胀，有脓肿形成则显示为无回声区
 ->D. 窦道形成时，局部软组织纹理中断
   E. 病变部位正常骨纹理清晰可见，骨皮质完整

305. 张某，女38岁，因不孕检查，临床诊断慢性输卵管积水，其声像图表现
 ->A. 多在附件部出现纺锤形肿块
 ->B. 肿块边缘较清晰，呈薄壁状
   C. 肿块内部呈囊实回声
   D. 大多为单侧
 ->E. 与子宫周围粘连严重时，可与子宫直肠陷凹积液连成一片，包围子宫

306. 甲状腺囊肿包括
 ->A. 单纯性囊肿
 ->B. 囊腺瘤
 ->C. 甲状腺癌囊性变
 ->D. 出血性囊肿
 ->E. 皮样囊肿和包虫囊肿

307. 脂肪肝的超声表现
   A. 肝内脂肪含量＞5%
 ->B. 肝轻、中度增大，边缘钝
 ->C. 肝回声增强、密集、后方回声衰减
 ->D. 肝血管纹理显示不清
   E. 肝内出现无回声暗区

308. 超声检测甲状腺周围有哪些重要结构
 ->A. 4条颈前肌群，有前至后依次为胸锁乳突肌、颈阔肌、胸锁乳突肌、胸骨甲状肌
   B. 2两条颈前肌群，前外方为胸锁乳突肌、甲状腺前方为胸骨甲状肌
 ->C. 颈动脉鞘：位于甲状腺两侧叶旁，内有颈内静脉、颈总动脉、迷走神经
   D. 颈动脉鞘：位于甲状腺左、右叶旁、内有颈外静脉、颈内动脉、交感神经
 ->E. 甲状旁腺：位于甲状腺背面上下级、左右各2枚

309. 彩色多普勒组织成像有哪些显示方式
 ->A. 速度型
 ->B. 能量型
 ->C. 加速度型
   D. 频谱形
   E. 热量型

310. 良性淋巴结的声像图特点是
 ->A. 淋巴结均匀性肿大，长（L）/宽（S）＞2
 ->B. 呈椭圆形，被膜回声强而光整
   C. 被膜回声不完整
 ->D. 血流丰富，分布规律呈高速低阻，RI＜0.5
   E. 血流丰富，分布不规则呈高速高阻，RI＞0.7

311. 超声容易显示的侧支循环是
 ->A. 胃左静脉、胃静脉、食管静脉
 ->B. 脐静脉
 ->C. 脾静脉、肾静脉
 ->D. 后腹膜静脉
 ->E. 肠系膜上静脉

312. 下列哪项是脐带特点
 ->A. 脐带正常长度30～70 cm，平均直径1.5～2.0 cm
 ->B. 脐动脉绕脐静脉呈螺旋状走行
   C. 脐静脉绕脐动脉呈螺旋状走行
 ->D. 超声无法测量脐带的长度
 ->E. 胚胎体蒂延长，被以羊膜成为脐带

313. 胎盘早剥应与下列哪项相鉴别
 ->A. 胎盘后静脉丛
 ->B. 子宫壁局部收缩
 ->C. 胎盘后子宫肌瘤
 ->D. 胎盘内大血窦
   E. 前置胎盘

314. 化脓性关节炎的超声表现有
 ->A. 关节腔内充满液性暗区，并可见点状强回声
 ->B. 关节滑膜增厚，内壁不光滑
 ->C. 关节周围软组织增厚
 ->D. 关节软骨回声凹凸不平，出现局部断裂缺损
 ->E. CDE可发现关节周围软组织内血流信号增多

315. 超声显示甲状腺与颈前肌界限不清时，最常见于下列哪些甲状腺疾病
   A. 甲状腺腺瘤
   B. 结节性甲状腺肿
 ->C. 亚急性甲状腺炎
   D. 单纯性甲状腺肿
 ->E. 甲状腺癌

316. 肝外胆管癌好发于
 ->A. 肝左、右管汇合处
   B. 胆总管上段
   C. 胆总管下段
 ->D. 胆囊管与肝总管汇合处
 ->E. 壶腹部

317. 受内分泌影响，女性乳腺不同年龄段声像图表现各异，可分哪几个期
 ->A. 青春期
 ->B. 性成熟期
 ->C. 妊娠期
 ->D. 哺乳期
 ->E. 老年萎缩期

318. 皮质醇功能不全的原因包括
 ->A. 双侧肾上腺皮质萎缩
 ->B. 双侧肾上腺结核
 ->C. 双侧肾上腺皮质转移性癌
 ->D. 双侧肾上腺切除
 ->E. 先天性肾上腺发育不全

319. 子宫内膜异位症的临床表现有
 ->A. 月经失调
 ->B. 痛经
 ->C. 不育症
 ->D. 大便坠胀
 ->E. 查体可发现有子宫粘连

320. 肾肿瘤CDFI特点
   A. 无血流型
 ->B. 丰富血流型
 ->C. 星点状血流型
 ->D. 少血流型
 ->E. 抱球形

321. 患者，女，48岁，临床诊断头臂型大动脉炎，其表现是
 ->A. 二维超声变现：病变动脉管壁增厚，呈菱形或不规则形，回声偏低或不均匀
 ->B. 彩色多普勒：病变段血流不规则，可有充盈缺损
 ->C. 脉冲多普勒：局限的狭窄范围内可获得流速增高的血流频谱
   D. 脉冲多普勒：弥漫性病变显示为高速双向血流频谱
 ->E. 头臂型大动脉炎是一种主要累及主动脉及其主要分支的慢性非特异性炎症

322. 乳腺良性肿物二维及CDFI特点
 ->A. 肿物纵径/横径＜1
   B. 肿物纵径/横径＞1
 ->C. 血管数目少
   D. 血管数目增多，RI＜0.7
   E. 血管数目增多，RI＞0.7

323. 患者，女32岁，临床诊断亚急性甲状腺炎，其超声表现正确的是
 ->A. 弥漫性肿大
   B. 大小、结构、回声正常
   C. 内呈稀疏、均质的强回声
 ->D. 局部有压痛
 ->E. 多普勒超声显示，血流可以丰富或不丰富

324. 中纵隔常见疾病包括
 ->A. 恶性淋巴瘤
 ->B. 淋巴结结核
 ->C. 纵隔巨大淋巴结增生
 ->D. 淋巴结转移性癌
   E. 神经纤维瘤

325. 下列乳腺恶性淋巴瘤的声像图特征正确的是
 ->A. 肿块常单发，呈圆球状或分叶状
 ->B. 肿块较大，常>10 cm，少数<5 cm
   C. 肿块较小，常<3 cm
 ->D. 肿块边界清晰，有包膜样回声
   E. 肿块边界不清晰，无包膜样回声

326. 哪种疾病可完全由超声检查发现
 ->A. 肝肿瘤
 ->B. 肝脓肿
 ->C. 胆管梗阻
 ->D. 肝转移
 ->E. 肝硬化

327. 胆道闭锁是新生儿常见的严重疾病之一，下列超声声像图描述哪些是正确的
 ->A. 肝脏形态正常
   B. 肝实质可见多数小的低回声区
 ->C. 肝回声可能均匀增强
 ->D. 胆囊小，充盈不良或不显示
 ->E. 肝外胆管不显示

328. “火海征”是哪些甲状腺疾病的声像图特征
 ->A. 毒性甲状腺肿
   B. 结节性甲状腺肿
 ->C. 慢性淋巴性甲状腺肿
   D. 地方性甲状腺肿
   E. 单纯性甲状腺肿

329. 子宫直肠陷窝积液的原因有
 ->A. 黄体囊肿破裂
 ->B. 排卵后
 ->C. 异位妊娠破裂
 ->D. 卵巢肿瘤
   E. 子宫肌瘤

330. 关节积液的超声表现包括
 ->A. 大量积液时，关节囊扩张外凸
 ->B. 关节滑膜增厚，内壁不光滑
 ->C. 关节内存在游离体
 ->D. 常合并邻近关节的滑囊积液扩张
 ->E. 关节周围可出现囊性肿物

331. 胎儿水肿的原因是
 ->A. 先天性心脏病
 ->B. Rh因子不合
 ->C. 糖尿病
 ->D. ABO溶血
   E. 以上都不是

332. 出现在肝内线状增强回声是下列哪项引起的
 ->A. 血管壁
   B. 肝窦状隙
 ->C. 纤维隔
   D. 肝硬化
 ->E. 肝内胆管壁

333. 患者，女，40岁，临床诊断椎-基底动脉供血不足，以下符合其表现的是
 ->A. 是指椎-基底动脉系统缺血引发的病理过程
   B. 椎-基底动脉狭窄或闭塞，颅内段以椎动脉从锁骨下动脉起始段多见
 ->C. 二维图线见受累部位血管管壁局限性增厚，有回声强弱不等、大小不一的斑块附着于管壁
   D. 彩色多普勒见狭窄处血流通过受阻，出现蓝色湍流血流信号
 ->E. 彩色多普勒见闭塞时患部无血流信号

334. 下列肝硬化的超声声像图描述中，哪些是正确的
 ->A. 肝体积不同程度改变，早期可为均匀性增大，晚期可因纤维化而肝脏变小
 ->B. 晚期肝脏变化明显，表面平滑或结节状隆起，界限清晰，夹角锐利
 ->C. 肝实质回声增强，尤以晚期明显，回声致密，分布均匀或欠均匀
 ->D. 肝门静脉可增粗
 ->E. 脾静脉增粗，脾脏增大

335. 超声判断颈动脉轻度狭窄采用的方法是
 ->A. 形态学方法
 ->B. 二维、CDFI图像
 ->C. 狭窄面积百分比
   D. 脉冲多普勒频谱测量评估
   E. 连续多普勒频谱测量评估

336. 肌肉新鲜血肿的声像图特点
 ->A. 血肿呈圆、卵圆、纺锤形
 ->B. 用5～7 MHz探头探测呈强回声
 ->C. 用5～7 MHz探头探测呈无回声
   D. 用2.5～3.0 MHz探头探测呈无回声
   E. 用2.5～3.0 MHz探头探测呈强回声

337. 超声心动图能检出主动脉窦瘤的
 ->A. 发生部位
 ->B. 有否破裂
 ->C. 破入的心腔位置
 ->D. 窦瘤大小
 ->E. 窦瘤形态

338. 隐睾有哪些危害
 ->A. 造成不育
 ->B. 隐睾恶变
 ->C. 睾丸扭转
 ->D. 造成心理不良影响
   E. 造成两性畸形

339. “火海征”是哪些甲状腺疾病的声像图特征
 ->A. 毒性甲状腺肿
   B. 结节性甲状腺肿
 ->C. 慢性淋巴性甲状腺肿
   D. 地方性甲状腺肿
   E. 单纯性甲状腺肿

340. 男性乳腺癌的特点包括
 ->A. 乳晕下无痛性肿块、质硬
 ->B. 乳头回缩，皮肤凹陷
 ->C. 超声早期可见腺体层增厚，结构不清，似男性乳腺发育症
 ->D. 进一步发展可出现不规则低回声区，与女性乳腺癌相似
   E. 预后比女性好

341. 李某，女33岁，孕42<sup>+</sup>周，其超声声像图表现，正确的是
 ->A. 胎盘老化
   B. 胎儿皮下脂肪增厚
 ->C. 易发生胎儿窘迫
   D. 羊水量增多
   E. 胎儿测值常大于同孕龄胎儿

342. 嗜铬细胞瘤的超声表现
 ->A. 肿瘤较大，4～6 cm或更大
   B. 肿瘤较小<3 mm
 ->C. 内部为均质低回声，当囊性变时表现为无回声
   D. 内部为均质高回声，不会发生囊性变
 ->E. CDFI：瘤内呈星点状血流信号

343. 超声显示甲状腺与颈前肌界限不清时，最常见于下列哪些甲状腺疾病
   A. 甲状腺腺瘤
   B. 结节性甲状腺肿
 ->C. 亚急性甲状腺炎
   D. 单纯性甲状腺肿
 ->E. 甲状腺癌

344. 肠梗阻的超声表现包括
 ->A. 肠管扩张，腔内积液、积气
 ->B. 肠壁黏膜皱襞水肿、增厚
 ->C. 机械性肠梗阻肠壁蠕动增强，幅度增大，频率加快
 ->D. 麻痹性肠梗阻时肠管扩张，肠蠕动弱或消失
 ->E. 绞窄性小肠梗阻时肠蠕动减缓甚至消失，腹腔内出现游离液体回声

345. 超声诊断肾上腺肿瘤的优缺点
 ->A. 1 cm肾上腺肿瘤，右侧均能检出，左侧在饮水后亦能检出
   B. >0.5 cm肾上腺肿瘤，双侧均能检出
 ->C. 可显示肿瘤形态、大小、内部回声，与周围脏器的关系
   D. 可显示肿瘤形态、大小、但内部回声与周围脏器关系无法显示
 ->E. 肿瘤<1 cm不易检出

346. 下列描述中，属于后天性乳腺畸形的有
   A. 最常见多乳头及多乳腺
 ->B. 包括乳房肥大或巨乳症
   C. 是乳房始基未退化或退化不全所致
 ->D. 与内分泌紊乱、雌激素分泌过多有关
 ->E. 超声显示为巨大乳腺结构而无肿物

347. 淤血肝的声像图特点
 ->A. 肝普遍增大，包膜光滑
 ->B. 肝实质回声无明显改变
 ->C. 肝静脉断面增宽
 ->D. 下腔静脉增宽，生理性搏动减弱或消失
 ->E. 有时可有腹水

348. 甲状腺肿大常见于下列哪些疾病及声像图特征
 ->A. 境界清楚，轮廓整齐的无回声区
 ->B. 壁清晰，回声较高
 ->C. 两侧端与正常动脉连接交通
 ->D. 不与正常动脉交通
   E. CDFI：可记录到动脉血流频谱

349. 下列哪些是卵黄囊的特点
   A. 在卵黄囊内可测量头臀长度
 ->B. 卵黄囊随妊娠增长而萎缩
 ->C. 卵黄囊可提示宫内妊娠
 ->D. 卵黄囊可提示胚胎组织存在
 ->E. 卵黄囊为小圆形无回声，直径3～7 mm，占孕囊横径的1/3

350. 评价灰阶声像图的质量主要依据
 ->A. 细微分辨力
 ->B. 对比分辨力
   C. 图像均匀性
 ->D. 动态分辨力
   E. 速度分辨力
解析：评价灰阶声像图的质量主要依据细微、对比、动态分辨力。

351. 下列哪些是子宫动脉的特点
   A. 子宫、输卵管的血供由子宫动脉供应，卵巢的血供由卵巢动脉供应
 ->B. 子宫动脉在健康育龄妇女显示率为100%，两侧对称，为中高速血流
 ->C. 子宫动脉频谱呈尖峰状、单相、上升速度快、下降速度稍慢
 ->D. 舒张期仍有低速血流、较平坦，RI随月经周期呈规律性改变
   E. 舒张期无低速血流

352. 颈动脉硬化闭塞的脉冲多普勒表现
   A. 颈动脉轻度狭窄：频谱轻度增宽，Vmax无变化
 ->B. 颈动脉轻度狭窄：频谱轻度增宽，Vmax无明显变化或轻度增快
   C. 颈动脉中、重度狭窄：Vmax加快，频谱增宽
 ->D. 颈动脉中、重度狭窄：Vmax加快，舒张期反向血流消失，频谱增宽
 ->E. 颈动脉完全闭塞，测不出频谱，远心端Vmax平均速度减慢，舒张期反向血流消失，呈低幅连续单相血流频谱

353. 患者女性，35岁，劳累性呼吸困难，进行性加重，乏力，气短，时有咯血，听诊心尖区有舒张期隆隆样杂音，临床诊断为风心病、二尖瓣狭窄，下列属于其超声心动图表现的是
   A. SAM现象
   B. 左房内收缩期见蓝色花彩血流
 ->C. 二尖瓣前叶呈城墙垛样改变
 ->D. 舒张期二尖瓣口见红色花彩血流
 ->E. 二尖瓣口舒张期血流速度增快

354. 颈动脉硬化闭塞的二维超声表现是
 ->A. 颈动脉管壁内膜面回声增强增厚，表面粗糙，连续性差，内膜有中断现象
 ->B. 管腔内有粥样硬化斑块形成，分低回声软斑和强回声硬斑两种
 ->C. 斑块内出血时呈不规则低回声
 ->D. 溃疡形成时斑块表面呈类似火山口样壁龛影
 ->E. 血栓形成，急性呈低回声，陈旧性回声增强

355. 肝实质回声增强可能由于
 ->A. 酒精中毒
 ->B. 糖尿病
 ->C. 化学治疗
 ->D. 细胞毒药物
 ->E. 高脂血症

356. 淋巴结反应性增生的声像图特点是
 ->A. 淋巴结体积增大,长轴（L）/短轴（S）>2
 ->B. 淋巴结呈椭圆形,有完整强回声包膜,皮质呈均匀低回声,髓质回声稍强
   C. 淋巴结呈类圆形,有完整中等回声包膜,皮质呈中等回声,髓质回声低
 ->D. 淋巴结内血流量、流速均增加,呈高速低阻血流
 ->E. 淋巴结内血管形态分布正常

357. 超声生物效应的物理机制包括
 ->A. 机械机制
 ->B. 热机制
   C. 辐射机制
 ->D. 空化机制
   E. 电流机制

358. 子宫大于孕月见于
 ->A. 多胎
 ->B. 子宫肌瘤
 ->C. 羊水过多
 ->D. 月经日期不准确
 ->E. 葡萄胎

359. 肝内有三条韧带对超声检查很重要，他们是圆韧带、静脉韧带和镰状韧带。圆韧带是
 ->A. 存在左叶间裂
 ->B. 脐静脉的残留
 ->C. 在严重的肝硬化时可见再通
 ->D. 在横切面上是一个回声增强光点
 ->E. 常在门静脉之上

360. 下列哪些是精索静脉曲张的表现
 ->A. 精索静脉迂曲扩张
 ->B. 精索静脉内径增宽，大于2.5毫米
 ->C. 屏气或站立位时精索静脉内径增粗明显
 ->D. 屏气时静脉内可出现反流
   E. 多发生与右侧

361. 下列哪些是急性阑尾炎的超声表现
 ->A. 阑尾肿胀，体积增大是超声显像的基础，表现为一低回声的管状结构，阑尾的短轴断面呈卵圆形或不规则形状。
 ->B. 阑尾管腔内可见积液甚而扩张，腔内致密强回声是粪石的特征。
 ->C. 阑尾管壁增厚，黏膜因炎症回声增强，呈现为管壁和腔内积液之间的一条线状强回声。
 ->D. 彩色多普勒超声显示阑尾旁血流信号增多。
 ->E. 阑尾肿大如团块状，壁间回声不均匀，是阑尾炎症程度加重、坏疽或脓肿的表现。

362. 下列肾脏超声表现说法正确的有
   A. 先天性肾发育不全声像图结构模糊不清
 ->B. 先天性肾发育不全声像图结构清晰
 ->C. 慢性肾病时，肾萎缩，皮质回声增强
 ->D. 梗阻后小肾脏实质变薄
   E. 以上各项都对

363. 经腹壁超声检查的优点是
 ->A. 不受年龄限制，对小女孩及未婚者更为适用
 ->B. 能清晰显示子宫、卵巢较大肿物及与邻近脏器的关系
 ->C. 能清晰显示盆腔较大肿块并判断来源
   D. 早期发现子宫腔内膜小病变
   E. 不受腹壁干扰

364. 下列特点中属于脉冲超声多普勒技术的有
 ->A. 有深度分辨力
   B. 没有深度分辨力
 ->C. 其检测高速血流的能力，受脉冲重复频率的限制
   D. 不受奈奎斯特频率极限限制，能检测心脏的高速血流
 ->E. 高速血流超过一定极限，会出现频率失真，产生频率混叠

365. 患者，女，40岁，临床诊断结节性甲状腺肿，其超声表现正确的是
   A. 甲状腺血流呈“火海”状
   B. 甲状腺结构正常
 ->C. 甲状腺囊实性结节
 ->D. 甲状腺多个结节
 ->E. 甲状腺结节有钙化点

366. 患者，男，32岁，临床诊断附睾炎，其超声表现正确的是
 ->A. 化脓时可呈无回声
 ->B. 附睾头肿大
 ->C. 附睾尾肿大
 ->D. 附睾强回声伴声影
 ->E. 多发生于附睾尾部，病变常不规则，内部回声不均匀

367. 下列哪些是急性阑尾炎的超声表现
 ->A. 阑尾肿胀，体积增大是超声显像的基础，表现为一低回声的管状结构，阑尾的短轴断面呈卵圆形或不规则形状
 ->B. 阑尾管腔内可见积液甚而扩张，腔内致密强回声是粪石的特征
 ->C. 阑尾管壁增厚，黏膜因炎症回声增强，呈现为管壁和腔内积液之间的一条线状强回声
 ->D. 彩色多普勒超声显示阑尾旁血流信号增多
 ->E. 阑尾肿大如团块状，壁间回声不均匀，是阑尾炎症程度加重、坏疽或脓肿的表现

368. 前纵隔常见肿瘤包括
 ->A. 胸内甲状腺肿瘤
 ->B. 胸腺瘤
 ->C. 畸胎类肿瘤
 ->D. 精原细胞瘤
 ->E. 脂肪瘤

369. 下列哪项（些）不属于非生殖细胞性睾丸肿瘤
   A. 纤维瘤
   B. 血管瘤
 ->C. 精原细胞瘤
 ->D. 绒毛膜上皮癌
 ->E. 卵黄囊瘤

370. 患者，女，32岁，临床诊断急性骨髓炎，其超声表现是
   A. 早期容易探查到的征象是骨膜下脓肿形成的带状无回声区，骨膜被掀起呈拱形抬高，无增厚改变
 ->B. 骨质中出现边缘不清楚、外形不规则的低回声区，内部夹杂斑点样强回声
 ->C. 软组织肿胀，有脓肿形成则显示为无回声区
 ->D. 窦道形成时，局部软组织纹理中断
   E. 病变部位正常骨纹理清晰可见，骨皮质完整

371. 颈动脉硬化闭塞的CDFI表现
   A. 动脉轻度狭窄无改变
 ->B. 动脉轻度狭窄无明显涡流
   C. 动脉中度狭窄时血流变细，狭窄处呈杂色血流信号
 ->D. 动脉中度或重度狭窄时血流变细狭窄处形成涡流，呈杂色血流信号
 ->E. 动脉管腔完全闭塞血流信号中断，闭塞上段血流速度减低，产生血逆流或涡流

372. 关于睾丸肿瘤正确的有
 ->A. 多为原发性
   B. 多为良性
 ->C. 分生殖细胞肿瘤和非生殖细胞肿瘤
 ->D. 以淋巴道转移为主
 ->E. 精原细胞瘤多见

373. 患者，男，45岁，临床诊断颈动脉海绵窦瘘，符合其诊断的是
   A. 眼下静脉扩张、压力增高，呈现动脉化改变
 ->B. 是由于动-静脉交通引起的海绵窦血管畸形
 ->C. 按解剖结构可分为颈内动脉海绵窦瘘和硬脑膜动脉海绵窦瘘
 ->D. 按血流速度可分为高流速海绵窦瘘和低流速海绵窦瘘
   E. 颈内动脉海绵窦瘘多为低流瘘

374. 进展期胃癌的超声分类有以下哪几型
 ->A. 溃疡型
   B. 弹坑型
   C. 靶环型
 ->D. 肿块型
 ->E. 弥漫浸润型

375. 以下哪几项是胃肠恶性淋巴瘤的主要超声特点
   A. 胃肠壁增厚、僵硬
   B. 肿块质硬，探头加压时不变形
 ->C. 肿块质软，探头加压时可变形
   D. 增厚胃肠壁多是低回声
 ->E. 胃肠壁增厚显著，而管腔狭窄不严重

376. 肝外胆管癌好发于
 ->A. 肝左、右管汇合处
   B. 胆总管上段
   C. 胆总管下段
 ->D. 胆囊管与肝总管汇合处
 ->E. 壶腹部

377. 发生睾丸肿瘤后，应特别注意扫查
   A. 附睾
 ->B. 腹膜后
   C. 肾脏
 ->D. 肾门
   E. 脾脏

378. 子宫肌瘤的临床表现是
 ->A. 月经量多
 ->B. 不孕
 ->C. 慢性贫血
 ->D. 腹痛
   E. 月经量少

379. 测量胎儿腹围的标准平面是
 ->A. 胎儿脐部水平
   B. 胎儿季肋部水平
 ->C. 与脊柱垂直
 ->D. 可显示胎儿脊柱、胃泡、肝脏、脐静脉
   E. 测量最大前后径、最大横径、不包括胎儿的皮肤

380. 有一中年男性高血压患者，突然出现剧烈胸痛，应考虑以下哪几种可能
 ->A. 不稳定型心绞痛
 ->B. 急性心肌梗死
   C. 急性化脓性心包炎
 ->D. 主动脉夹层动脉瘤
   E. 主动脉窦瘤破入右心室

381. 易造成漏诊的胆囊结石
 ->A. 在胆囊底部
 ->B. 哈氏囊内
 ->C. 泥沙样
 ->D. 囊壁内
 ->E. 充满型

382. 引起脂肪肝的常见原因
 ->A. 营养性原因：肥胖或营养缺乏
 ->B. 代谢性原因：糖尿病、肝糖原积累、高脂血症
 ->C. 药物原因：乙醇、皮质类固醇及细胞毒药物
 ->D. 特发性；原因不明
   E. 乙肝病史

383. 人体重要的淋巴结的分布
   A. 人体重要淋巴结分布在人体全身各部位区域
 ->B. 淋巴结一般为集合线群，分布在身体特定区域
   C. 人体重要淋巴结分布在胸、腹、颈部、腹股沟区
 ->D. 人体重要淋巴结分布在颈、腋窝、纵隔、腹主动脉、髂、腹股沟和咽窝区
   E. 以上都对

384. 关节积液的超声表现包括
 ->A. 大量积液时，关节囊扩张外凸
 ->B. 关节滑膜增厚，内壁不光滑
 ->C. 关节内存在游离体
 ->D. 常合并邻近关节的滑囊积液扩张
 ->E. 关节周围可出现囊性肿物

385. 心脏声学造影的应用范围包括
 ->A. 协助显示心内分流
 ->B. 改善多普勒血流频谱的显示
 ->C. 协助显示心内未知结构
 ->D. 改善心内膜边界的显示
 ->E. 显示心肌的灌注状态

386. 双子宫双阴道的声像图特点是
 ->A. 纵切可见两个子宫、宫颈、阴道回声
 ->B. 两侧子宫狭长，左右对称
   C. 横切子宫体呈平角形，宫腔线呈分叶状
 ->D. 宫颈较宽呈哑铃状，可见两个宫颈管回声
 ->E. 阴道较宽，可见两个气体线

387. 十二指肠的解剖分段正确的是
 ->A. 壶腹部
 ->B. 降部
 ->C. 水平部
   D. 胰腺部
 ->E. 升部

388. 乳腺恶性肿瘤的声像图特征有
 ->A. 肿块边界轮廓不整，粗糙，无包膜
 ->B. 肿块多呈不均质低回声，有皮肤及周围组织浸润
 ->C. 肿物纵径/横径>1
 ->D. 肿块内血流丰富，呈高速高阻血流
   E. 肿块内血流丰富，呈低速低阻血流

389. 使超声波出现衰减的原因有
 ->A. 声束发散
 ->B. 折射
 ->C. 反射
 ->D. 吸收
 ->E. 多普勒效应

390. 关节的基本结构有
 ->A. 关节面
 ->B. 关节囊
 ->C. 关节腔
   D. 滑囊
   E. 筋膜

391. 乳腺癌超声有特征性改变的有哪几种
 ->A. 乳头状导管癌
 ->B. 髓样癌
 ->C. 硬癌
   D. 腺癌
   E. 弥漫型癌

392. 功能失调性子宫出血的特点是
 ->A. 由于调节生殖的神经内分泌机制失常引起的异常子宫出血
 ->B. 临床表现是不规则子宫出血、月经量多、贫血
 ->C. 超声表现为子宫均匀性增大，子宫内膜增厚
   D. 卵巢一般多萎缩、变小、功能下降
   E. 超声表现为子宫形态正常，子宫内膜未见增厚

393. 患者女性，35岁，劳累性呼吸困难，进行性加重，乏力，气短，时有咯血，听诊心尖区有舒张期隆隆样杂音，临床诊断为风心病、二尖瓣狭窄，下列属于其超声心动图表现的是
   A. SAM现象
   B. 左房内收缩期见蓝色花彩血流
 ->C. 二尖瓣前叶呈城墙垛样改变
 ->D. 舒张期二尖瓣口见红色花彩血流
 ->E. 二尖瓣口舒张期血流速度增快

394. 人体重要的淋巴结的分布
   A. 人体重要淋巴结分布在人体全身各部位区域
 ->B. 淋巴结一般为集合线群，分布在身体特定区域
   C. 人体重要淋巴结分布在胸、腹、颈部、腹股沟区
 ->D. 人体重要淋巴结分布在颈、腋窝、纵隔、腹主动脉、髂、腹股沟和咽窝区
   E. 以上都对

395. 排卵延迟的早孕，胚胎尚未出现，发生先兆流产，应注意与下面哪项鉴别
 ->A. 不全流产
 ->B. 难免流产
   C. 枯萎孕囊
   D. 宫外孕
   E. 卵巢肿瘤

396. 子宫小于孕月见于
 ->A. 胎儿死亡
 ->B. 羊水过少
 ->C. 月经日期不准确
   D. 萄胎
 ->E. 胎儿宫内发育迟缓

397. 患者，女40岁，临床诊断结节性甲状腺肿，其超声特点哪项是正确的
 ->A. CDFI示血流丰富，沿结节绕行
 ->B. 颈前部肿大、增粗
 ->C. 结节大小不等，分布不均
 ->D. 甲状腺内多个结节
   E. 结节都是实性的

398. 化脓性关节炎的超声表现有
 ->A. 关节腔内充满液性暗区，并可见点状强回声
 ->B. 关节滑膜增厚，内壁不光滑
 ->C. 关节周围软组织增厚
 ->D. 关节软骨回声凹凸不平，出现局部断裂缺损
 ->E. CDE可发现关节周围软组织内血流信号增多

399. 下列说法正确的有
 ->A. 皮质醇增多症又称库欣综合征
   B. 皮质醇增多症最常见的原因是肾上腺皮质增生
 ->C. 皮质醇增多症的原因之一是肾上腺皮质腺瘤
   D. 原发性醛固醇增多症的主要病因为肾上腺皮脂腺瘤
   E. CDFI：皮质醇增多症时肾上腺血流显示极少

400. 下列先天性肝纤维化的超声声像图描述中，哪些是正确的
 ->A. 肝脏弥漫性增大，表面平滑，界限清晰
 ->B. 肝实质回声增强，呈均匀弥漫的分布
 ->C. 可有肝外门静脉及脾静脉的增粗
 ->D. 可合并脾脏弥漫性增大
 ->E. 可有肾脏双侧均增大，肾结构失常。肾实质回声致密增强，与肾窦回声区别不明显

401. 属于原发性心肌病的是
 ->A. 扩张型心肌病
 ->B. 肥厚型心肌病
 ->C. 限制型心肌病
   D. 先天性心脏病
   E. 高血压性心脏病

402. 超声检测甲状腺周围有哪些重要结构
 ->A. 四条颈前肌群，有前至后依次为胸锁乳突肌、颈阔肌、胸锁乳突肌、胸骨甲状肌
   B. 两条颈前肌群，前外方为胸锁乳突肌、甲状腺前方为胸骨甲状肌
 ->C. 颈动脉鞘：位于甲状腺两侧叶旁，内有颈内静脉、颈总动脉、迷走神经
   D. 颈动脉鞘：位于甲状腺左、右叶旁、内有颈外静脉、颈内动脉、交感神经
 ->E. 甲状旁腺：位于甲状腺背面上下级、左右各2枚

403. 下列疾病中，阴道内可见到无回声的有
 ->A. 阴道闭锁
   B. 阴道纵隔
 ->C. 阴道内积尿
 ->D. 阴道积血
   E. 双阴道

404. 下列哪些是前列腺增生的特点
 ->A. 内外腺比例异常
 ->B. 前列腺结石
 ->C. 前列腺增大
 ->D. 出现增生结节
 ->E. 向膀胱腔突出

405. 良性实性肿物的声像图特点是
 ->A. 低回声区
   B. 无回声区
 ->C. 壁光滑，界限清楚
   D. 肿物壁不规则，界限不清
 ->E. 内部回声随增益增加而增强

406. 下列哪项是卵巢非赘生性囊肿
 ->A. 滤泡囊肿
   B. 皮样囊肿
 ->C. 黄体囊肿
 ->D. 黄素囊肿
 ->E. 多囊卵巢

407. 正确鞘膜积液的临床类型是
 ->A. 睾丸鞘膜积液
