1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
   A. 真性室壁瘤
 ->B. 二尖瓣关闭不全
   C. 假性室壁瘤
   D. 室间隔穿孔
   E. 左室附壁血栓

752. 患者女性，有风湿性关节炎病史，心脏听诊主动脉瓣区有舒张期杂音，X线胸片示左心室扩大，心电图示左心室高电压，超声诊断为主动脉瓣关闭不全。彩色多普勒血流应显示为
   A. 左心室在收缩期有血流射入右心室
 ->B. 舒张期有血流从主动脉瓣流向左心室
   C. 收缩期有血流从右心房流入右心室
   D. 左心室在收缩期无血流射入主动脉
   E. 收缩期有血流从左房流入左室

753. 患儿，男，3岁。超声显示肝脏增大，形态失常，右叶可见一14cm×16cm大小的实性强回声团块，边界清楚，内回声不均匀，内可见强光团，后伴声影，最可能的诊断是
   A. 畸胎瘤
 ->B. 肝母细胞瘤
   C. 错构瘤
   D. 肝内血肿
   E. 肝肉瘤
解析：肝母细胞瘤是一种胚胎性肝脏恶性肿瘤，多发生于3岁以下婴幼儿，表现为肝内巨大实性肿块，肿块多呈圆形，部分略呈分叶状，边界清楚，内部回声以强回声多见，有时可呈现混合性回声或低回声，内部可以有不规则小片状液性暗区，部分可出现斑片状、条索状强回声，系结缔组织、类骨组织等所致，声像图上出现较大而致密的钙化灶强回声，其后方伴有声影，提示此为诊断该病的重要征象。

754. 患者女性，39岁，以气急、乏力，活动后晕厥就诊。超声诊断为肥厚型梗阻性心肌病，超声所见不包括
   A. 室间隔与左室后壁非对称性肥厚，二者比值＞1.3～1.5
   B. 增厚的室间隔心肌回声增强，呈“毛玻璃”样改变
   C. SAM征阳性
   D. 左室流出道狭窄，内径＜20mm
 ->E. EPSS增大
解析：EPSS增大是左室明显扩大，左心衰竭的超声表现，在肥厚型心肌病中不应出现。

755. 男性青年患者，突发剧烈右侧下腹疼痛，急诊超声显示：右侧输尿管下段可探及增强回声，但与周围肠气回声有重叠，可依据下列哪一项确诊为结石
 ->A. 强回声后方的声影
   B. 镜面伪像
   C. 混响伪像
   D. 切片厚度伪像
   E. 旁瓣伪像

756. 患者男性，34岁，活动后心悸、气短2年，超声心动图左室长轴切面可见收缩期二尖瓣瓣体突向左房，最可能的诊断是
   A. 二尖瓣狭窄
 ->B. 二尖瓣脱垂
   C. 二尖瓣相对狭窄
   D. 二尖瓣瓣裂
   E. 二尖瓣钙化

757. 患者男性，51岁，无痛性肉眼血尿一周。超声特征：膀胱充盈后，于三角区可见一乳头状稍高回声实性肿块，基底较宽，该处膀胱肌层回声不清晰，血流较丰富。本病可诊断为
 ->A. 膀胱肿瘤
   B. 膀胱结核
   C. 膀胱结石
   D. 膀胱内凝血块
   E. 前列腺肥大
解析：膀胱肿瘤声像图多表现为膀胱壁局限性隆起或增厚，呈高回声、中等高回声的结节状或菜花状，向腔内突出，不随体位移动而改变位置，当蒂较长时，可轻微移动；膀胱结核早期无明显异常，长期病变表现为整个膀胱壁弥漫性增厚，回声不均匀，表面不光滑，有时可见到钙化形成的斑点状强回声，不随体位移动而改变位置，重者膀胱容量减少；血块常有较大幅度移动，与膀胱壁不相连，血块内不显示彩色血流；结石具有典型强回声和声影，一般容易区别，前列腺增生时，呈结节样增生的腺体突入膀胱时，酷似膀胱肿瘤，但多切面扫查仍可判断其与前列腺相延续。

758. 患者38岁，女性，发病初期咽痛，上呼吸道感染症状，甲状腺中度肿大和疼痛，数周后可自行缓解；实验室检查：白细胞计数升高，T<sub>3</sub>、T<sub>4</sub>增高，吸碘率降低，γ球蛋白增高，血沉加快；超声检查见甲状腺呈对称性普遍性中度肿大，甲状腺与其接近的颈前肌二者之间间隙消失弥漫性粘连和疑为囊肿的低回声带（冲洗征）。最可能的诊断为
   A. 急性甲状腺炎
 ->B. 亚急性甲状腺炎
   C. 桥本甲状腺炎
   D. 侵袭性甲状腺炎
   E. 甲状腺囊腺瘤

759. 患者上腹部不适，超声显示胰腺体积轻度缩小，表面不平，内回声不均匀，主胰管扩张，呈串珠状，内见结石，超声提示
   A. 急性胰腺炎
   B. 胰腺癌
   C. 胰腺结核
 ->D. 慢性胰腺炎
   E. 以上都不正确

760. 患者，男性，50岁，肝炎病史18年，于肝右叶探及一较大的高回声团块，其内可见形态不规则无回声区，周边可见低回声晕环绕，CDFI示团块内部及周边可见条状及簇状彩色血流分布，PW示为动脉频谱Vmax为66 cm/s，则下列哪项诊断可能性较大
   A. 转移性肝癌
   B. 胆管细胞癌
 ->C. 肝细胞癌
   D. 肝海绵状血管瘤
   E. 以上都不是

761. 患者，女性，33岁，健康体检时于脾门区见一类圆形结节，大小2.7 cm×2.9 cm，回声均匀，与脾脏回声相似，边界清楚，其最有可能提示为
   A. 炎性肿块
 ->B. 副脾
   C. 肾上腺肿瘤
   D. 胰尾肿瘤
   E. 脾转移癌

762. 患者男性，25岁，右大腿根部刀伤，出现疼痛，肿胀，活动受限。局部血管超声检查显示股动脉、股静脉之间见一无回声管道，其近端动、静脉管径明显增宽，管道处可见从动脉流向静脉的五彩镶嵌血流，静脉内出现动脉化血流频谱，为高速低阻型，其超声诊断最可能为
   A. 股动脉血栓
   B. 股静脉血栓
 ->C. 股动静脉瘘
   D. 股静脉瓣功能不全
   E. 假性动脉瘤

763. 一女性患者胆囊切除术后一年，屡感上腹部不适，超声示近段胆管扩张，胆管内径10 mm，壁轻度增厚，回声增强，并可显示局部狭窄，肝脏稍增大，呈淤胆表现，其最可能的诊断是
   A. 胆管被误扎
   B. 急性肝炎
   C. 胆管肿瘤
 ->D. 术后胆道狭窄
   E. 硬化性胆管炎

764. 患者，女，35岁，自述间歇性剑突下疼痛1个月余，加重伴皮肤瘙痒发黄， 大便呈白色陶土样10天。临床检查：巩膜及皮肤黄染。超声检查：肝内可见胆管扩张；胰头形态失常增大，表面不平，可见3.8 cm×3.2 cm低回声区，周边呈毛刺状，主胰管间断显示，内径0.47 cm，CDFI，低回声区见可见动脉血流信号， 周边可见血管绕行。超声提示
   A. 胆总管下段癌肝内外胆管扩张
 ->B. 胰头癌胰管、肝内外胆管扩张
   C. 壶腹癌肝内外胆管扩张
   D. 胰腺炎性假瘤
   E. 胰岛细胞瘤

765. 一位胆囊切除患者，超声检查发现沿肝内胆管走行可见形态不稳定的条索状强回声，紧贴胆管前壁，可见多重反射回声带，超声诊断为
   A. 肝内胆管钙化
   B. 肝内胆管结石
 ->C. 肝内胆管积气
   D. 胆系感染
   E. 肝吸虫病

766. 患者高烧后两侧耳下区肿大、发红、不适，超声显示：局部增大，回声减低，血流信号略多，最可能是
   A. 腮腺肿瘤
   B. 颈淋巴结肿大
 ->C. 急性腮腺炎
   D. 何杰金肿瘤
   E. 甲状腺炎

767. 成年男性，于急性胰腺炎恢复期做超声检查，于胰腺体尾部探及11 cm×8 cm边界清晰、包膜完整、较薄的囊性病变。最可能的诊断是
 ->A. 胰腺假性囊肿
   B. 胰腺潴留性囊肿
   C. 左肾囊肿
   D. 胰腺囊腺瘤
   E. 腹膜后淋巴瘤
解析：胰腺假性囊肿继发于胰腺炎症或外伤，位于胰尾部时常较大；潴留性囊肿为真性囊肿，由胰液潴留形成，体积一般不大，位于实质中；左肾囊肿和左肾在各个切面上均相连接；囊腺瘤时，囊壁较厚，可见较厚的强回声间隔带和乳头状实性肿块；腹膜后淋巴瘤为低回声，有继发改变时内部回声可有变化。

768. 患者男性，57岁，近一个月来纳差、消瘦、腹胀、恶心，今早起因呕吐来急诊。超声检查见胃腔内大量可流动性颗粒物，十二指肠降部以上扩张，降部下方见形态不规则低回声团块，内部回声不均匀，超声诊断考虑
 ->A. 十二指肠癌
   B. 恶性淋巴瘤
   C. 胰头癌
   D. 平滑肌肉瘤
   E. 肠套叠

769. 患者男性，30岁，体检时，腮腺的超声表现是：两侧对称，表面光滑，回声均匀，其中见一管状结构，最可能是
   A. 腮腺炎
 ->B. 正常腮腺
   C. 腮腺导管扩张
   D. 先天性异常
   E. 腮腺囊肿
解析：考点正常腮腺的声像图表现，两侧对称，表面光滑，回声均匀，其中见一管状结构（腮腺导管）。

770. 患者，男性，51岁，持续性黄疸伴皮肤瘙痒30天，近日加重。超声见肝内外胆管及胆囊均扩张，扩张的胆总管下端呈截断阻塞，局部隐约见一实性结节，主胰管扩张，内径0.6 cm，可能的阻塞病因是
 ->A. 壶腹周围癌
   B. 胆总管结石
   C. 胆总管囊肿
   D. 硬化性胆管炎
   E. 非特异性胆管炎症

771. 患者，女性，30岁，诊断为主动脉瓣下狭窄，近期出现活动后呼吸困难就诊。超声心动图显示主动脉瓣下可探及一薄膜，该处压差44 mmHg，伴有主动脉中度反流，左心室轻度增大，射血分数57%，食管超声未见主动脉瓣明显钙化，下列哪项正确
   A. 该种损害属于心尖球囊综合征
   B. 中度主动脉瓣狭窄尚不需外科干预
 ->C. 行食管超声时要仔细检查升主动脉
   D. 在该病例中没有提供腹主动脉多普勒的信息
   E. 以上都不正确

772. 一消化道出血的女性患者，胃肠超声检查示胃壁不规则增厚，层次消失，胃窦近小弯侧可见56 mm×50 mm低回声不均匀肿块，表面回声增强，呈“火山口”状，该患者可能出现的超声表现有
   A. 胃壁蠕动减弱
   B. 胃内可见大量潴留物
   C. 胃周围可见肿大淋巴结
   D. 双侧卵巢见实性肿块
 ->E. 以上均可能

773. 女性，30岁。右下腹痛4小时。超声检查：右下腹超声加压扫描见一管样结构，部分管壁模糊，内呈无回声区，一侧见强回声团伴声影。最可能的诊断是
 ->A. 输尿管结石
   B. 消化道穿孔
   C. 急性阑尾炎
   D. 右侧附件炎
   E. 以上都不是

774. 患者女性，27岁，无不适。AFP（-），肝功能检查正常，超声检查时肝左外叶见一54mm×53mm弱回声肿块，轮廓清晰，有细强回声包膜，内部为小岛状弱回声区，之间可见强回声细分隔，正确的诊断是
 ->A. 肝血管瘤
   B. 肝细胞癌
   C. 肝局灶性结节性增生
   D. 肝脏炎性假瘤
   E. 肝腺瘤样增生
解析：肝血管瘤边界特征为边缘呈纤细包膜样强回声，尤其弱回声肿块常可更清晰显示此特征；较大的血管瘤其内可出现强回声带和不均匀的弱回声区，为纤维增生形成的间隔及囊状扩张的血窦所致。

775. 患者女性，68岁，超声示胃壁增厚，形成大小为9.2 cm×7.5 cm的低回声实性肿块，似由数个弱回声结节融合而成，内部透声好，探头加压发生变形，最可能的诊断是
   A. 胃平滑肌瘤
   B. 胃息肉
 ->C. 胃恶性淋巴瘤
   D. 胃平滑肌肉瘤
   E. 胃间质瘤

776. 患者女性，29岁，孕31周，胎儿左肾上极实质内可见13 mm×15 mm边界清晰，被膜完整较薄，形态规整，透声良好的无回声区，胎儿右肾未见明显异常，确切的超声诊断为
   A. 胎儿左肾上盏扩张
   B. 胎儿左肾上盏积水
   C. 胎儿左肾上腺囊肿
   D. 胎儿左肾积水
 ->E. 胎儿左肾囊肿

777. 患者行心脏移植手术，超声心动图提示三尖瓣重度反流，但无高速射流信号，其反流速度为1 m/s，右心室功能中度减退，这位患者最有可能存在的其他问题是
   A. 肺栓塞
 ->B. 三尖瓣腱索断裂
   C. 三尖瓣狭窄
   D. 重度的肺动脉瓣关闭不全
   E. 肺心病

778. 患者，男，58岁，肝硬化病史，消瘦3个月，皮肤黄染，超声描述：肝右叶一低回声区，边界不清，内回声不均，CDFI：低回声区内可见分支状血流信号。最可能的诊断是
   A. 肝囊肿
   B. 肝脓肿
 ->C. 肝癌
   D. 胆管扩张
   E. 多囊肝

779. 男性，46岁。脾脏大小形态正常，回声不均匀，实质内探及散在分布的多个粟粒样强回声点，边界清楚。可提示诊断为
   A. 脾恶性淋巴瘤
 ->B. 脾结核
   C. 脾梗死
   D. 脾血管瘤
   E. 脾转移癌
解析：脾脏内钙化点多见于脾结核，其余选项声像图上常表现为低回声或高回声。

780. 患者，男性，78岁，有冠心病病史，主诉胸痛和呼吸困难3 h入院。查肌钙蛋白3.0 ng/ml。行二维超声斑点追踪超声心动检查<img src="https://exam.mvwchina.com/upload/2016/12/c5c08c91cdd041468714e3c3b20d826f.jpg "/>，在左前降支动脉近端狭窄处置入一个支架，7 d后复查超声心动图<img src="https://exam.mvwchina.com/upload/2016/12/443682a800a14889b59bda6f9342ee6b.jpg "/>，下列哪项是对这两幅图最正确的解释
   A. 增加利尿药治疗
 ->B. 前壁心肌运动明显好转
   C. 下壁心肌运动好转
   D. 心肌缺血再灌注损伤
   E. 以上都不正确

781. 患者，男46岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0 cm，肿物内无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾肿瘤
   E. 以上都不正确

782. 患者男性，46岁，乙肝病史15年，超声检查示肝右叶8 cm×9 cm椭圆形肿块，边界较清，周边有晕，但不完整，内部回声不均，呈“块中块”表现，最可能的诊断是
   A. 结节型肝癌
   B. 弥漫型肝癌
   C. 肝硬化结节
 ->D. 巨块型肝癌
   E. 肝转移癌

783. 患者，男，40岁，自述进食年糕后感觉上腹部不适就诊，既往患急性胰腺炎治疗后好转1年。化验检查：血淀粉260U，超声检查：胰腺轮廓显示欠清，表面不平，回声强弱不均，主胰管间断显示，呈串珠样，显示段内径0.35 cm。超声提示
   A. 先天性主胰管增宽
   B. 急性胰腺炎主胰管扩张
 ->C. 慢性胰腺炎 主胰管轻度扩张
   D. 正常胰腺声像图
   E. 胰腺癌

784. 孕29周患者出现无痛性无诱因阴道出血5天，超声检查见胎盘覆盖于子宫颈内口，该孕妇考虑为
   A. 胎盘早剥
   B. 部分性前置胎盘
   C. 边缘性前置胎盘
   D. 低置胎盘
 ->E. 中央性前置胎盘

785. 男性患者，48岁，肾移植术后5天，出现少尿一天，超声检查见移植肾体积稍增大，结构清楚，集合系统及肾周未见异常回声，肾皮质血流分布稀疏，RI=0.89，其可能诊断为
   A. 肾动脉吻合口狭窄
   B. 输尿管结石
   C. 肾动脉闭塞
   D. 肾静脉栓塞
 ->E. 急性排斥反应

786. 患者男，43岁，胸部不适、活动后乏力就诊，超声诊断为扩张型心肌病，该疾病以下列哪项二维超声表现为主
   A. 室壁增厚率增大
 ->B. 左心或全心扩大，室壁收缩运动幅度普遍减低
   C. 心室扩大，心房变小
   D. 室壁弥漫性增厚，室壁收缩运动幅度增大
   E. 左心室正常，左心房变小

787. 患者女性，发作性右腰部剧痛，向右下腹及膀胱放射。如果超声检查已排除妇产科疾病，那么超声最常见、最易显示的是
 ->A. 右肾结石
   B. 阑尾炎
   C. 右侧输尿管结石
   D. 右肾囊肿
   E. 右肾肿瘤

788. 患者女性，有风湿性关节炎病史，心脏听诊主动脉瓣区有舒张期杂音，X线胸片示左心室扩大，心电图示左心室高电压，超声诊断为主动脉瓣关闭不全。彩色多普勒血流应显示为
   A. 左心室在收缩期有血流射入右心室
 ->B. 舒张期有血流从主动脉瓣流向左心室
   C. 收缩期有血流从右心房流入右心室
   D. 左心室在收缩期无血流射入主动脉
   E. 收缩期有血流从左房流入左室
解析：主动脉瓣关闭不全即主动脉瓣反流，其彩色多普勒表现是左室流出道内舒张期可探及源于主动脉瓣口的以红色为主花彩血流束。

789. 患者，男性，72岁，因进行性呼吸困难收入院，查体：血压184/90 mmHg，心率82次/分，非吸氧状态下氧饱和度为93%。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/88315b94361a41659d1b6345d45b9ca9.jpg "/>，左心房轻大，余房室内径正常，室间隔及左心室后壁厚度均为14.6 mm，室壁运动未见异常，LVEF正常，二尖瓣及三尖瓣可见少量反流，心肌和心包正常，肺动脉压力估测为44 mmHg，根据多普勒频谱图，下列哪一项符合诊断
 ->A. 高血压导致舒张功能减低
   B. 心肌淀粉样变致舒张性心力衰竭
   C. 非心源性肺水肿
   D. 急性冠状动脉综合征致舒张性心力衰竭
   E. 肺心病

790. 患儿，10个月，疑有心脏病，查体：胸骨左缘第2肋间可闻及连续性杂音，超声心动图显示降主动脉与左肺动脉之间有一管状回声，请指出以下哪项诊断最正确
   A. 房间隔缺损
   B. 室间隔缺损
 ->C. 动脉导管未闭
   D. 法洛四联症
   E. 肺动脉口狭窄

791. 患者男性，61岁，高血压多年，1周前腹泻，4天前便血伴腹胀乏力，腹部平片示多个弓形小肠袢影，结肠充气。以“下消化道出血、不全肠梗阻”入院，超声示右下腹腔肠管粘连，肠壁增厚，明显水肿，肠壁血运明显减少，肠间少量积液。最可能的诊断是
   A. 肠结核
   B. 肠套叠
 ->C. 坏死性肠炎
   D. 肠肿瘤
   E. 肠扭转
解析：该患者有高血压病史，由于动脉硬化造成肠管缺血、肠壁水肿，引发缺血性结肠炎，导致结肠及其系膜下多发脓肿、结肠坏死，继发麻痹性肠梗阻。

792. 患者女性，12岁，心悸，气短，超声心动图诊断为左房黏液瘤，超声特点不包括
   A. 肿块可发生变形
   B. 肿块活动度大
   C. 肿块有蒂
   D. 肿块根部小
 ->E. 肿块无蒂

793. 患者王某，干下型室间隔缺损，左向右分流，用超声检测，要了解其峰值跨隔压差，应检测什么参数
 ->A. 分流血流的收缩期峰值速度（Vs）
   B. 分流血流的收缩期与舒张期速度比值（S/D）
   C. 分流血流的平均速度（Vm）
   D. 分流血流的阻力指数（RI）
   E. 分流血流的时间速度积分（VTI）

794. 男性，25岁。左腰痛2小时伴镜下血尿。超声检查显示左肾盂及左输尿管上段轻度积水，其下端见强回声团伴声影。提示诊断是
   A. 左输尿管囊肿
 ->B. 左输尿管结石
   C. 左输尿管肿瘤
   D. 左输尿管狭窄
   E. 以上都不是

795. 患者，男，46岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0 cm，肿物内为无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾实性肿瘤
   E. 以上均不正确

796. 患儿，男，1岁，口唇发绀，超声检查：左房-左室-肺动脉相连，右房-右室-主动脉相连，并伴有室间隔缺损，应诊断为
   A. 法洛四联症
 ->B. 完全型大动脉转位
   C. 右室双出口
   D. 永存动脉干
   E. 矫正型大动脉转位

797. 患者男性，14岁。平时无症状，查体发现胸骨左缘可闻及Ⅱ级收缩期吹风样杂音，超声心动图检查见前乳头肌与室间隔之间有一条索状回声，请结合病史和查体指出哪项最正确
   A. 风心病二尖瓣狭窄
   B. 动脉导管未闭
 ->C. 左心室假腱索
   D. 法洛四联症
   E. 扩张型心肌病

798. 患者男性，43岁，上腹不适伴脂肪泻反复发作，超声显示胰腺体积缩小，边缘不规则，实质回声增强，不均匀，主胰管呈串珠状扩张，内见强回声伴声影，超声诊断考虑为
 ->A. 慢性胰腺炎
   B. 急性胰腺炎
   C. 胰腺结核
   D. 胰腺囊腺瘤
   E. 胰腺癌

799. 患者男性，45岁，有牧区生活史，超声检查：肝右叶可见一个7cm×8cm囊性占位，包膜较厚，回声高，呈双层，囊液透声不好，囊液中有细小的点状回声，可随体位改变而出现滚动，最可能的诊断是
   A. 肝囊肿合并感染
   B. 肝血肿
 ->C. 肝包虫囊肿
   D. 肝囊腺瘤
   E. 胆管囊肿合并感染
解析：包虫囊肿多为圆球状或类圆球状，包膜较厚呈高回声，边界清晰，完整，典型者呈双层高回声，囊液中有细小的点状回声（包虫蚴），随体位改变而出现滚动，即“飘雪”征。

800. 患者，女性32岁，临床诊断慢性输卵管积水，其声像图表现错误的是
   A. 多在附件部出现纺锤形肿块
   B. 肿块边缘较清晰，呈薄壁状
   C. 肿块内部呈无回声区
 ->D. 大多为单侧
   E. 与子宫周围粘连严重时，可与子宫直肠陷凹积液连成一片，包围子宫

801. 患者女性，32岁，胆囊壁增厚，胆囊腔内探及一不规则的低回声团块，与囊壁分界欠清，判断肿块性质最有意义的方法是
   A. 令患者保持胸膝位，20分钟后复查
   B. 脂餐试验
   C. 饮水500 ml后观察
 ->D. 利用彩色多普勒和频谱多普勒检测肿块血流信号
   E. 换用高频探头

802. 患者阴道出血，停经60 d，尿HCG（+），超声见子宫稍增大，宫腔内未见胎囊及胎芽，应考虑
   A. 先兆流产
   B. 难免流产
   C. 过期流产
 ->D. 完全流产
   E. 异位妊娠

803. 患者女性，61岁，绝经7年，近3个月，阴道不规则流血4次。超声检查：子宫饱满，宫腔内可见梭状、边界不规则，高低回声不均匀区，内探及动静脉血流信号，PS27cm/s，RI 0.39。可能的诊断是
   A. 子宫内膜息肉
   B. 子宫内膜增生过长
   C. 宫腔粘连带
   D. 宫腔内凝血块
 ->E. 子宫内膜癌

804. 患者，男，45岁，自述右上腹胀痛，患有高血压，高血脂，糖尿病。超声综合描述：右肝斜径14.7 cm 肝回声密集，血管走行显示不清，后方声衰减。超声提示
   A. 肝硬化
 ->B. 肝大、脂肪肝
   C. 淤血肝
   D. 血吸虫病肝
   E. 弥漫性肝癌

805. 患者女性，60岁，多饮、多尿、消瘦9年，畏寒发热4天入院，经检查确诊为糖尿病。行超声检查，超声可见肝右叶增大，肝右前叶可见64 mm×85 mm形态不规则混合回声区，内部为多发不规则液性暗区，囊液透声不好，后方回声增强，最可能的诊断是
 ->A. 肝脓肿
   B. 肝棘球蚴病
   C. 肝转移癌
   D. 肝囊腺瘤
   E. 肝囊肿合并感染

806. 患者男性，55岁，肝区轻度不适，肝功能检查正常。超声表现右叶缩小，左叶增大，肝缘钝，肝表面不平整，肝组织呈网格状、鱼鳞状结构，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支显示清楚，肝静脉细窄，最可能的诊断是
   A. 酒精性肝硬化
   B. 胆汁性肝硬化
   C. 病毒性肝硬化
 ->D. 血吸虫性肝硬化
   E. 淤血性肝硬化
解析：血吸虫性肝硬化是血吸虫侵入肝内门静脉细支，引起栓塞性门静脉炎和门静脉周围炎及纤维化改变，肝表面多呈龟甲状。超声图像具有典型的特征：肝组织呈网格状、鱼鳞状结构，大量纤维结缔组织增生，形成网格状强回声细带，把肝组织分隔为不规则小区或结节，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支常过度显示。肝硬化明显时肝静脉细窄，静脉壁模糊不清。

807. 患者，男，18岁，瘦长体型，高度近视，心脏超声检查示升主动脉瘤样扩张，内径50 mm，升主动脉内见-强回声光带将主动脉分为两腔，诊断为
   A. 主动脉瓣狭窄
   B. 主动脉瓣关闭不全
 ->C. 马方综合征
   D. 主动脉缩窄
   E. 以上都不是

808. 患者男性,69岁，胃肠超声检查于胃壁探及一大小为11cm× 9cm，形态不规则，边界不清的不均匀低回声肿块，中心部可见大片不规则液化坏死区，实性部分血流信号不明显，胃黏膜受侵，超声诊断考虑
   A. 胃息肉
 ->B. 胃平滑肌肉瘤
   C. 胃脂肪瘤
   D. 胃平滑肌瘤
   E. 胃恶性淋巴瘤
解析：胃息肉大小一般不超过2cm，为自黏膜向腔内隆起性病变；胃脂肪瘤一般较小，为胃黏膜下类圆形肿块，边界清楚，呈均匀的强回声；胃平滑肌瘤一般小于5cm，为边界清晰的均匀的低回声肿块；胃恶性淋巴瘤探头加压易变形，回声近似无回声；平滑肌肉瘤的体积较大，边界不清且不规则，内部常发生液化及溃疡，彩色多普勒血流信号不明显，符合本题声像图特征。

809. 某患者在接受超声检查时发现右肾肾窦区内一圆形无回声区，局限于肾窦一部分，未见与肾盏和肾盂相通，应考虑的诊断是
   A. 局限性肾盏阻塞
   B. 轻度肾积水
 ->C. 肾盂旁囊肿
   D. 肾盂源性肾囊肿
   E. 肾结核

810. 患儿，男性，4岁，查体发现心脏Ⅱ～ Ⅲ级杂音。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/748616b8f01747ee91b11797a3b2fb2f.jpg "/>，房间隔处可见红彩过隔血流信号，宽约4 mm，左向右分流，各心腔正常范围。下列判断正确的是
   A. 继发孔型房间隔缺损
 ->B. 卵圆孔未闭
   C. 原发孔型房间隔缺损
   D. 必须行外科手术
   E. 室间隔缺损

811. 一患者大腿、小腿和踝部收缩压与上肢收缩压相比明显降低。但整个下肢血压相差不大，此时应进行的检查是
   A. 整个下肢的多普勒显像
 ->B. 髂血管以上的动脉多普勒显像
   C. 运动测试
   D. 颈动脉的多普勒显像
   E. 腘动脉多普勒显像

812. 患者女性，32岁，胆囊壁增厚，胆囊腔内探及一不规则的低回声团块，与囊壁分界欠清，判断肿块性质最有意义的方法是
   A. 令患者保持胸膝位，20分钟后复查
   B. 脂餐试验
   C. 饮水500 ml后观察
 ->D. 利用彩色多普勒和频谱多普勒检测肿块血流信号
   E. 换用高频探头

813. 男性，55岁。肝区轻度不适，肝功能检查正常。超声表现右叶缩小，左叶增大，肝缘钝，肝表面不平整，肝组织呈网格状、鱼鳞状结构，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支显示清楚，肝静脉细窄。最可能的诊断是
   A. 酒精性肝硬化
   B. 胆汁性肝硬化
   C. 病毒性肝硬化
 ->D. 血吸虫性肝硬化
   E. 瘀血性肝硬化
解析：血吸虫性肝硬化是血吸虫侵入肝内门静脉细支，引起栓塞性门静脉炎和门静脉周围炎及纤维化改变，肝表面多呈龟甲状。超声图像具有典型的特征：肝组织呈网格状、鱼鳞状结构，大量纤维结缔组织增生，形成网格状强回声细带，把肝组织分隔为不规则小区或结节，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支常过度显示。肝硬化明显时肝静脉细窄，静脉壁模糊不清。

814. 患者，男性，40岁，述上腹不适、消瘦。超声检查提示胃窦部胃壁不规则增厚。厚达2.5 cm，呈中心强回声的“假肾样”低回声团块，其近端胃腔扩大， 内容物潴留。最可能诊断是
   A. 胃平滑肌瘤
 ->B. 胃癌
   C. 胃平滑肌肉瘤
   D. 慢性肥厚性胃炎
   E. 胃黏膜巨大肥厚征

815. 患者女性，60岁，多饮、多尿、消瘦9年，畏寒发热4天入院，经检查确诊为糖尿病。行超声检查，超声可见肝右叶增大，肝右前叶可见64mm×85mm形态不规则混合回声区，内部为多发不规则液性暗区，囊液透声不好，后方回声增强，最可能的诊断是
 ->A. 肝脓肿
   B. 肝棘球蚴病
   C. 肝转移癌
   D. 巨块型肝癌伴液化坏死
   E. 肝囊肿合并感染
解析：糖尿病患者因身体抵抗力下降，易发生肝脓肿。患者具有肝脓肿的超声图像。

816. 患者，女性，66岁，因突发胸部疼痛，行经胸超声心动图超声检查，箭头所指一强回声是<img src="https://exam.mvwchina.com/upload/2016/12/edecf511d9c84a94858d8c920a459748.jpg "/>，超声提示
   A. 主动脉瓣人工瓣的混响作用
   B. 双心室起搏器
   C. 房间隔瘤
 ->D. 二尖瓣腱索断裂
   E. 以上都不正确

817. 患者女性，26岁，无明显自觉症状。体检时超声发现左肾上极实质内可见直径为1.5 cm、边界清晰、高回声实性肿块，内部及周边未探及明显血流信号，其余肾内结构未见异常。本病可诊断为
   A. 髓质海绵肾
 ->B. 肾错构瘤
   C. 肾囊肿
   D. 肾结核
   E. 肾脓肿

818. 男性，23岁。超声查体发现肾窦边缘肾锥体的乳头部，回声明显增强，后方声影不明显。最可能的诊断是
   A. 肾钙质沉淀症
   B. 肾多发结石
   C. 肾盏结石
 ->D. 海绵肾
   E. 钙乳症肾囊肿

819. 患者男性，57岁，近一个月来纳差、消瘦、腹胀、恶心，今早起因呕吐来急诊。超声检查见胃腔内大量可流动性颗粒物，十二指肠降部以上扩张，降部下方见形态不规则低回声团块，内部回声不均匀，超声诊断考虑
 ->A. 十二指肠癌
   B. 恶性淋巴瘤
