1. 烧伤后引起气性坏疽的致病菌是
   C. 脾大多合并脾功能亢进和贫血
 ->D. 脾脏愈大，脾功能亢进反而减轻
   E. 白细胞计数＜3×10<sup>9</sup>/L，血小板计数＜（70～80）×10<sup>9</sup>/L

1340. 胆道疾病首选的诊断性检查是
   A. PTC
   B. 静脉胆道造影
 ->C. B超检查
   D. CT检查
   E. ERCP

1341. 关于股管的解剖特点，下列选项错误的是
   A. 股管是一个狭长的漏斗形间隙，有上、下两口
   B. 股管上口称股环
   C. 股环前缘为腹股沟韧带，后缘为耻骨梳韧带
 ->D. 股环内缘为腹壁下动脉，外缘为腹外斜肌弓状缘
   E. 股管下口为卵圆窝

1342. 经皮肝穿刺胆道造影可达到下列目的中的
   A. 明确肝内病变的范围和性质
   B. 了解胆囊切除术后胆道情况
 ->C. 明确梗阻性黄疸的原因和部位
   D. 了解胆囊浓缩和收缩功能
   E. 胆道显影同时也可显示胰管

1343. 有关肝脏的解剖，下列选项不正确的是
   A. 门静脉、肝动脉和胆管进出肝的部位，称第一肝门
   B. 肝右、肝中和肝左静脉于肝后上缘汇入下腔静脉处，称为第二肝门
   C. 小部分血液经过数支肝短静脉汇入下腔静脉处，称为第三肝门
 ->D. 肝胃韧带和十二指肠韧带固定肝脏脏面
   E. 肝脏分别由左右三角韧带、冠状韧带、镰状韧带和肝圆韧将其固定于膈肌及腹壁

1344. 下列解剖部位用中国九分法计算成人的烧伤面积，错误的是
   A. 头颈部（发部、面部、颈部）9%
   B. 双上肢（双上臂、双前臂、双手）18%
   C. 躯干（躯干前、躯干后、会阴）27%
 ->D. 双臀部9%
   E. 双下肢46%

1345. 下列腹股沟疝修补术后复发的原因中，不正确的是
   A. 遗留内环太大
   B. 疝囊游离和切除不够，未做到高位结扎
   C. 腹横筋膜或腹横肌腱膜弓缝合失误
   D. 血肿形成或感染
 ->E. 髂腹下和髂腹股沟神经损伤

1346. 乳腺癌改良根治术中损伤了胸长神经，患侧肢体会出现
 ->A. 前锯肌瘫痪，翼状肩胛
   B. 上臂后内侧皮肤麻木
   C. 胸大肌外侧萎缩
   D. 前臂内旋、外展无力
   E. 胸小肌萎缩

1347. 胰腺疾病和胆道疾病互相关联的解剖学基础是
   A. 胰头右侧被十二指肠包绕，头向后向内延伸形成一钩状突起
   B. 胰颈部短而窄，其深面是肠系膜上静脉与门静脉的分界处
   C. 胰腺分胰头、颈、体、尾部四个部分，位于第1～2腰椎体前方
 ->D. 胰管与胆总管汇合形成“共同通路”，开口于十二指肠内侧乳头（Vater乳头），乳头内有Oddi括约肌
   E. 胰腺前方有胃、胃结肠韧带、横结肠及其系膜

1348. 胰腺癌切除率低的主要原因为
   A. 癌发生部位
 ->B. 癌直接浸润和转移早
   C. 癌组织病理学类型
   D. 癌病程的早晚
   E. 癌的TNM分期

1349. 下列关于游走脾说法不正确的是
   A. 多由脾蒂和脾韧带先天性过长或韧带缺如造成
   B. 脾可以异位盆腔
   C. 主要表现为腹部肿块和压迫症状
 ->D. 发生脾蒂扭转概率大，约占50%
   E. 如脾蒂发生扭转，可引起脾的出血坏死
解析：游走脾多由脾蒂和脾韧带先天性过长或韧带缺如造成，少数可能因为肿大的脾牵拉使韧带松弛或腹肌薄弱等因素造成。游走脾又称为异位脾，可以异位腹腔和盆腔等其他部位。游走脾患者临床主要表现为腹部肿块和脾对邻近脏器的压迫症状。临床上约有20%的游走脾可发生脾蒂扭转。如发生脾蒂扭转可引起脾的瘀血肿大，甚至出血坏死，临床表现为急性剧烈腹痛，可伴有休克。

1350. 有关甲状腺与喉返神经、喉上神经的解剖关系，下列错误的是
   A. 喉返神经经过气管食管沟，上行至甲状腺两叶背面的甲状腺下动脉分支间
   B. 左喉返神经行程较长，位置较深，右喉返神经经气管食管沟外前向上内斜行，相对表浅
 ->C. 喉上神经内支为运动支，外支为感觉支
   D. 甲状腺上动脉后支内侧，有喉上神经外支从血管后方转至其内侧伴行
   E. 甲状腺上动脉发出的喉上动脉与喉上神经内支伴行
解析：喉上神经起自迷走神经，分为内、外支。内支为感觉支，外支为运动支。

1351. 有关重度烧伤，下列不正确的是
   A. 烧伤总面积达30%～50%
   B. 烧伤面积＜30%，合并休克
   C. 烧伤面积＜30%，但为复合伤
   D. Ⅲ度烧伤面积在10%～19%
 ->E. 烧伤面积＜30%，伴剧烈疼痛

1352. 关于肠梗阻的全身变化，下列哪项是错误的
   A. 失水后失盐，混合性缺水，代谢性酸中毒
 ->B. 大量呕吐，丢失胃液发生碱中毒
   C. 血液浓缩
   D. 血容量减少
   E. 毒素吸收，毒血症，全身中毒休克
解析：肠梗阻大量呕吐，丢失胃液发生代谢性酸中毒。

1353. 下肢深静脉血栓形成急性期，可发生的最严重并发症是
   A. 下肢继发感染
   B. 血栓性静脉炎
 ->C. 肺栓塞
   D. 下肢静脉性坏疽
   E. 下肢溃疡、淋巴性水肿

1354. 关于门静脉高压性胃病的特点，下列错误的是
   A. 门静脉高压症并发门静脉高压性胃病约为20%
   B. 门静脉高压性胃病占上消化道出血的 5%～20%
   C. 胃壁组织淤血、水肿
   D. 胃黏膜下层动-静脉交通支广泛开放
 ->E. 门静脉高压性胃病一定伴发胃溃疡

1355. 有关脾破裂的临床表现，下列选项不正确 的是
   A. 休克
   B. 腹痛，腹膜刺激症状
   C. 脾区叩击痛
   D. 膈肌刺激征
 ->E. 左上腹皮肤过敏征

1356. 腹部损伤剖腹探查的切口多采用
 ->A. 腹部正中切口
   B. 右腹直肌切口
   C. 左腹直肌切口
   D. 肋缘下斜切口
   E. 腹直肌旁切口
解析：腹部伤一般多采用正中切口，正中切口出血少，紧急手术进腹快，损伤少，简便，便于向上下延长，更好地显露手术野。

1357. 腹腔镜胆囊切除，导致胆管损伤的原因中，不正确的是
   A. 误认胆总管为胆囊管
   B. 误认右侧副肝管为胆囊管
   C. 胆囊管过度牵引
   D. 钛夹位置不对，阻塞胆总管
 ->E. 手术视野不清

1358. 下列异位阑尾的类型中，不正确的是
   A. 不转位畸形，阑尾异位于左下腹
   B. 旋转不完全，阑尾异位于旋转途中的某部位，如左上腹或肝下，也称高位阑尾
   C. 升结肠固定不全，阑尾位置多变
   D. 反向转位，阑尾异位于中位
 ->E. 全逆向转位，阑尾异位于腹膜后

1359. 对于外伤性脾破裂，不宜施行脾切除术的是
   A. 全脾破碎者
   B. 脾脏血管完全断裂，失去血供者
   C. 合并腹内其他脏器损伤，生命体征不稳定者
   D. 损伤大缝合术不能有效止血或失败者
 ->E. 脾裂伤长4.0 cm，深1 cm的小儿患者

1360. 急性胰腺炎时，有关淀粉酶变化的临床意义，下列选项错误的是
   A. 血淀粉酶在6～12小时开始升高，48小时开始下降，持续3～5天
   B. 尿淀粉酶在12～24小时开始升高，持续1～2周
 ->C. 尿淀粉酶测定值≥10 U/dl（索氏单位）有诊断意义
   D. 淀粉酶升高的幅度与病变的严重程度不呈正相关
   E. 腹腔穿刺液，测淀粉酶值对诊断很有帮助

1361. 下列选项中，不属于胆汁生理功能的是
   A. 中和胃酸
   B. 抑制肠内致病菌生长繁殖和内毒素形成
   C. 乳化脂肪
 ->D. 分解蛋白质
   E. 刺激肠蠕动

1362. 下列不符合深Ⅱ度烧伤创面特点的是
   A. 创面可有或无水疱
   B. 创面痛觉迟钝
 ->C. 可见粗大树枝状栓塞血管
   D. 如无感染，3～4周愈合
   E. 愈合后多遗有瘢痕

1363. 下列甲状腺髓样癌的临床特点，不正确的是
   A. 中度恶性，可发生于任何年龄，约10%为家族性
   B. 瘤体圆形或卵圆形，边界清楚，质硬，伴周围甲状腺实质浸润
 ->C. 间质中含淀粉样物，转移灶中无
   D. 临床表现甲状腺肿块和颈淋巴结转移
   E. 可出现特有的类癌综合征、cushing综合征
解析：甲状腺髓样癌显微镜下，间质中含有数量不等的淀粉样物，癌细胞多时，淀粉样物少，癌细胞少时，淀粉样物多，转移灶中也如此。

1364. 腹腔镜胆囊切除术中并发症发生率最高 的是
   A. 胆管损伤
   B. 血管损伤
 ->C. 胆瘘
   D. 术中或术后出血
   E. 胃肠道损伤

1365. 以下对脾切除术后凶险性感染（OPSI）的概述，不正确的是
   A. 4岁以下婴幼儿罹患此病的危险性大，致病菌多为肺炎球菌
 ->B. 发病率高，故应限制脾切除术
   C. 常并发DIC、低血糖
   D. 早应用大剂量抗生素，维护重要脏器 功能
   E. 发病突然，骤起寒战高热、恶心呕吐、腹泻，乃至昏迷、休克

1366. 典型阑尾炎腹痛发作起始于
 ->A. 上腹部
   B. 下腹部
   C. 脐下方
   D. 右上腹部
   E. 右下腹部
解析：急性阑尾炎典型表现最早是脐周或上腹部疼痛，这时疼痛由内脏神经传入，定位不准确。紧接着会出现厌食和恶心。随着炎症的发展覆盖阑尾的那部分壁腹膜受到影响，这时腹痛便会固定于右下腹。故A选项正确。

1367. 脾静脉血流占门静脉血流的
   A. 10%
 ->B. 20%
   C. 50%
   D. 60%
   E. 60% 以上

1368. 有关肝外胆管结石的外科手术治疗，下列选项不正确的是
   A. 手术尽可能取尽结石，解除狭窄，去除感染灶，引流通畅
   B. 对发作间歇期及发作后保守治疗好转者，择期手术
   C. 结石完全梗阻，全身感染和局部炎症均较重者，急诊手术
   D. 手术方法包括胆总管探查、切开取石和引流术
 ->E. 腹腔镜微创手术已完全取代传统的开腹手术

1369. 门静脉高压症最安全有效的断流手术方式为
   A. 脾切除+胃冠状静脉结扎术
   B. 食管下端胃底切除术
   C. 脾切除+胃底横断术
   D. 食管下端横断术
 ->E. 脾切除+贲门周围血管离断术

1370. 以下哪个超声征象提示甲状腺癌的可能性比较小
 ->A. 囊性结节
   B. 结节内血供丰富（TSH正常情况下）
   C. 结节形态和边缘不规则、晕圈缺如
   D. 微小钙化、针尖样弥散分布或簇状分布的钙化
解析：囊性结节多发于良性结节。

1371. 肝脏手术，常温下一次阻断入肝血流的时间一般不应超过
   A. 5～10分钟
   B. 15～20分钟
   C. 20～25分钟
 ->D. 25～30分钟
   E. 30～35分钟

1372. 下列痔的治疗方法中，错误的是
   A. 血栓性外痔可手术切开取出血栓
   B. 手术疗法适用于单纯较大的内痔及环状痔
 ->C. 注射疗法适用于混合痔、外痔及有感染的内痔
   D. 枯痔疗法适用于出血的内痔和反复脱出不易回纳的内痔
   E. 单纯性外痔一般不手术

1373. 细菌性肝脓肿与阿米巴肝脓肿最重要的鉴别方法是
   A. B超检查
   B. 大便常规检查
 ->C. 脓肿穿刺
   D. 血常规检查
   E. CT扫描检查

1374. 直肠息肉中，一般不会发生癌变的是
   A. 家族性息肉病
   B. 管状腺瘤
   C. 直肠腺瘤
 ->D. 炎性息肉
   E. 绒毛状腺瘤

1375. 关于胰腺的淋巴回流，下列错误的是
   A. 胰头的淋巴注入胰十二指肠上、下淋巴结
   B. 胰体的淋巴分别注入胰上淋巴结和胰下淋巴结
   C. 胰尾的淋巴汇入脾门淋巴结
   D. 各淋巴结最后注入腹腔淋巴结和肠系膜上淋巴结
 ->E. 胰腺的淋巴引流一般并不丰富，故胰腺癌发生淋巴结转移晚

1376. 下列对原发性甲状旁腺功能亢进的定位检查，不宜采取的是
   A. X线检查
   B. B超检查
 ->C. 选择性甲状腺动脉造影
   D. CT检查或MRI检查
   E. 放射性核素检查
解析：选择性甲状腺动脉造影为有创性检查，由于该检查可致严重并发症，应慎用。

1377. 关于急性胰腺炎的发病机制，下列不正确的是
   A. 胰液中的各种酶被激活，对胰腺及其周围组织产生“自身消化”
   B. 弹力蛋白酶破坏血管壁、胰腺导管，使胰腺出血和坏死
   C. 胰舒血管素可使血管扩张、通透性增加，蛋白酶和脂肪酶造成组织细胞坏死
   D. 脂肪酶将脂肪分解成脂肪酸，使Ca<sup>2+</sup>结合形成脂肪酸钙，血Ca<sup>2+</sup>降低
 ->E. 临床病理分为水肿型和出血坏死型两种

1378. 原发性肝癌施行肝叶切除术时，至少要保留
   A. 正常肝组织的40%或肝硬化肝组织 的40%
 ->B. 正常肝组织的30%或肝硬化肝组织 的50%
   C. 正常肝组织的20%或肝硬化肝组织 的30%
   D. 正常肝组织的50%或肝硬化肝组织的50%
   E. 正常肝组织的60%或肝硬化肝组织
的60%

1379. 选择性胃迷走神经切断术治疗十二指肠溃疡时，附加幽门成形术的主要目的是
 ->A. 防止胃滞留
   B. 防止术后消化不良
   C. 防止术后腹泻
   D. 降低胃酸
   E. 降低溃疡复发率

1380. 关于嵌顿疝与绞窄疝的鉴别诊断，最重要的是
   A. 有无呕吐、发热、休克
   B. 疝内容物有无压痛
   C. 疝内容物不能还纳的时间
 ->D. 疝内容物有无血液循环障碍
   E. 有无肠梗阻

1381. 下列对急性化脓性甲状腺炎的概述中，不正确的是
   A. 常见病原菌为葡萄球菌、链球菌等
 ->B. 常原发于甲状腺的直接感染
   C. 全身中毒症状明显，发热、全身不舒服、出汗、乏力
   D. 甲状腺红肿热疼，弥漫或局限性肿大，可有压迫症状，触痛明显，颈活动受限
   E. 白细胞总数及中性粒细胞明显增多，穿刺可见脓液
解析：急性化脓性甲状腺炎常见的病原菌为金黄葡萄球菌、溶血性链球菌、肺炎链球菌、革兰阴性菌等。大部分继发于上呼吸道、口腔或颈部软组织的化脓性感染，如急性咽炎、化脓性扁桃体炎等。细菌可经血液、淋巴道、邻近组织器官蔓延扩散至甲状腺。少部分病例继发于脓毒症或颈部开放性创伤。

1382. 我国门静脉高压症的主要发病原因是
   A. 门静脉血栓形成
   B. 门静脉主干先天性畸形
   C. Budd-Chiari综合征
 ->D. 肝炎后肝硬化
   E. Band综合征

1383. 对仅有乳头溢液，而体检乳腺无肿块时，首先要做的检查是
   A. 乳腺MRI
   B. 乳腺切除活检
   C. 近红外线乳腺扫描
   D. 乳腺穿刺活检
 ->E. 乳头溢液涂片细胞学检查

1384. 下列哪项不是进展期壶腹周围肿瘤的特征性表现
   A. 胆囊增大肋下可及
   B. 进行性黄疸加重
 ->C. Murphy征阳性
   D. MRCP提示“双管征”
解析：无痛性进行性黄疸加重，伴肋下可及肿大胆囊，多为壶腹周围肿瘤。

1385. 胰头癌区别于壶腹周围癌的检查所见是
   A. 大便潜血试验（+），黄疸进行性加重
 ->B. 血管造影提示门静脉受浸润
   C. PTCD显示胆管下端梗阻
   D. 血淀粉酶高于正常
   E. 大便苏丹染色阳性，显示脂肪颗粒

1386. 下列肠梗阻的手术方式选择，错误的是
   A. 解除梗阻原因可行粘连松解、肠扭转复位、肠切开取异物术
   B. 肠管已有炎性狭窄及坏死等应行肠切除肠吻合术
   C. 梗阻原因不可能解除者，可将梗阻近、远侧肠袢做侧侧吻合术
   D. 对一般情况极差或局部病变不能切除的患者，可先行肠造口术
 ->E. 对小肠病变或粘连广泛的患者，可切除范围超过80%小肠

1387. 慢性胰腺炎的手术适应证，不包括
   A. 非手术治疗不能解除顽固性疼痛者
   B. 胆总管梗阻，持续黄疸者
   C. 胰源性胸腹水者
 ->D. 胰腺纤维化，胰腺功能不全者
   E. 并发脾静脉栓塞者

1388. 腹腔镜在脾脏外科的应用，不包括
   A. 腹腔镜脾切除术
   B. 腹腔镜脾囊肿切除术
   C. 腹腔镜游走脾固定术
   D. 脾动脉瘤、脾外伤腹腔镜诊治
 ->E. 腹腔镜脾切除、脾移植术

1389. 乳腺癌发生腰椎转移的主要途径是
   A. 经腋窝淋巴系统
   B. 经肺循环静脉系统
   C. 经门静脉系统
   D. 经胸导管系统
 ->E. 经椎旁静脉系统

1390. 关于细菌性肝脓肿的临床特点，下列错误的是
 ->A. 多为原发性，继发性少见
   B. 致病菌多为大肠埃希菌、厌氧菌、葡萄球菌等通过胆道、肝动脉、门静脉直接侵入感染
   C. 脓肿可单个，也可多个，可侵蚀并穿破邻近器官
   D. 骤起寒战、高热，肝区痛和肝大，右上腹肌紧张和触压痛
   E. 伴恶心、呕吐、厌食、乏力和体重减轻

1391. 下列甲状腺功能亢进的手术前准备，不宜采取的是
   A. 消除患者顾虑和恐惧，适当应用镇静剂和安眠药
   B. 颈部X线摄片，心脏检查，喉镜检查声带，测基础代谢率
   C. 口服硫氧嘧啶类药物，甲亢症状得到基本控制后，停服
   D. 改服复方碘化钾溶液2～3周，每日3次，第1日每次3～5滴，以后逐日每次增加1滴，至每次16滴维持，甲状腺缩小变硬，脉率＜90次/分，基础代谢率＜+20%，可行手术
 ->E. 术前常规注射阿托品

1392. 既能满足手术需要，且又能减少并发症，腹腔镜胆囊切除术的腹内气压宜维持在
   A. 5～8 mmHg
   B. 6～lO mmHg
 ->C. 12 ～15 mmHg
   D. 15 ～20 mmHg
   E. 20～25 mmHg

1393. 急性胰腺炎发病12 h以内，诊断意义较大的检查项目是
   A. 血钙
   B. 血糖
 ->C. 血淀粉酶
   D. 血白细胞
   E. 尿淀粉酶
解析：血淀粉酶在急性胰腺炎发作2 h后开始升高，24 h达高峰，可持续4～5 d。

1394. 成人每日分泌胆汁一般为
   A. 200～400 ml
   B. 400～500 ml
 ->C. 800～1200 ml
   D. 1200 ～1400 ml
   E. 1500 ml以上

1395. 胆管损伤手术成功的三要素是
   A. 先行清创、近端胆管外引流，延期二次手术
   B. 清创、修复胆管，腹腔引流
   C. 清创、胆肠吻合，内引流
 ->D. 修复损伤的胆管、胆管内支撑、胆管减压引流
   E. 修复胆管、一期缝合、近端胆管外引流

1396. 诊断慢性阑尾炎，最重要的依据是
 ->A. 既往有典型急性阑尾炎病史，右下腹反复疼痛
   B. 钡灌肠造影阑尾不充盈
   C. 右下腹有固定性压痛
   D. 胃肠功能紊乱
   E. 腹泻与便秘交替

1397. 严重烧伤出现休克时，下列治疗措施中，错误的是
   A. 吸氧、镇静、止痛
   B. 简单清创、防止创面感染
   C. 就地抗休克补液治疗，待休克好转后再考虑转运
 ->D. 立即行切痂植皮手术
   E. 少量口服盐水

1398. 目前认为治疗甲状旁腺功能低下最有效的是
   A. 二氢速固醇
   B. 钙制剂
   C. 普萘洛尔（心得安）
   D. 二膦酸盐
 ->E. 甲状旁腺移植

1399. 原发性肝癌的介入放射治疗，经肝动脉介入栓塞（TAE）和经肝动脉介入化疗栓塞（TACE）治疗，关于其适应证，下列选项不正确的是
   A. 巨块型和弥漫型肝癌不能手术切除，肝功能良好者
   B. 门静脉分支有癌栓者
   C. 巨大肝癌术前治疗，以提高手术切除率
 ->D. 重度黄疸、腹水者
   E. 肝癌破裂出血者

1400. 有关腹部损伤损害控制外科的适应证，下列选项错误的是
   A. 严重的腹部贯通伤或闭合性腹部伤，血流动力学不稳定者
   B. 严重的代谢性酸中毒、低体温和凝血功能障碍
   C. 大量输血、输液＞12 000 ml
   D. 多脏器损伤合并多灶性出血，用常规方法难以控制
 ->E. 既有实质脏器损伤，又有空腔脏器损伤
解析：损害控制外科的适应证，具体是：①严重的腹部贯通伤或闭合性腹部伤，血流动力学不稳定者；②生理指标：严重的代谢性酸中毒，pH＜7.30，血乳酸＞5 mmol/L，剩余碱（BE）＜-6或＜-15；③低温：体温＜33℃或体温＜35.5℃；复苏时间＞1.5 h生命体征仍不稳定；凝血功能障碍：PT＞19 s，PPT＞60 s；④大量输血、输液＞12 000 ml；⑤多脏器损伤合并大血管损伤，或伴有多灶性出血、严重肝脏损伤、肝后下腔静脉损伤、骨盆血肿破裂出血、开放性骨盆骨折用常规方法难以控制的出血；⑥ISS评分≥35分

1401. 关于外科急腹症的治疗，下列选项错误的是
   A. 并非所有的外科急腹症均需手术
   B. 急性梗阻性化脓性胆管炎，应急诊手术
   C. 急腹症诊断不明确，观察期间，应禁食、禁用镇痛药、禁服泻药、禁灌肠
   D. 粘连性肠梗阻出现腹膜炎体征，应急诊手术
 ->E. 胃、十二指肠溃疡穿孔均应急诊手术
解析：部分胃、十二指肠溃疡穿孔可采取保守治疗自行闭合，其适应证包括：①临床表现轻，腹膜炎体征趋于局限；②穿孔较小，空腹穿孔；③全身情况差，难以耐受麻醉和手术；④排除幽门梗阻、溃疡出血、可疑癌变等情况。

1402. 根据组织病理学，以下选项不属于胆囊腺瘤样息肉病变的是
   A. 管状腺瘤
 ->B. 炎性息肉
   C. 乳头状腺瘤
   D. 混合性息肉
   E. 胆囊癌

1403. 关于肝外伤的临床表现，下列不正确的是
 ->A. 大便次数增多，表现里急后重
   B. 休克的表现
   C. 全腹或局部持续性疼痛，多为胀痛，其次为绞样痛或隐痛
   D. 全腹或局部压痛，反跳痛和腹肌紧张，肝区叩击痛
   E. 放射痛

1404. 临床上，诊断腹主动脉瘤的“金标准”是
 ->A. CTA
   B. MRA
   C. DSA
   D. 彩色多普勒超声
   E. 腹部平片
解析：CTA创伤小，费用低，可以准确测量腹主动脉瘤各项数据，已经基本替代经导管血管造影。特别是近年来出现的多排CT，可以在更短的时间里得到更多的高质量图像，进一步提高CT诊断的准确率。CTA已经逐渐成为腹主动脉瘤术前检查和术后随访的“金标准”。

1405. 门静脉高压症分流术的主要缺点是
   A. 容易发生血栓
 ->B. 肝性脑病发生率高
   C. 手术复杂，不易推广
   D. 不能迅速纠正脾亢
   E. 肝功能易受损

1406. 以下不属于胆道蛔虫病临床并发症的是
   A. 肝脓肿
   B. 膈下感染
   C. 败血症
   D. 中毒性休克
 ->E. 胆总管结石

1407. 下列血栓闭塞性脉管炎的检查中，不必要的是
   A. 测定跛行距离和跛行时间，患肢远侧动脉搏动情况
 ->B. 放射性核素显像
   C. 肢体抬高试验（Buerger试验）
   D. 皮肤温度测定
   E. 多普勒超声检查，动脉造影

1408. 下列液体，不用于治疗烧伤休克的是
   A. 平衡液
 ->B. 脂肪乳剂
   C. 血浆
   D. 人体白蛋白
   E. 血浆代用品

1409. 不完全性肠梗阻不同于完全性肠梗阻主要表现于
   A. 腹胀不显著或无腹胀
   B. 腹痛不剧烈或无腹痛
   C. 偶见肠型或不见肠型
   D. 腹部轻压痛或无压痛
 ->E. 呕吐可有可无，少量排气排便
解析：不完全性肠梗阻不同于完全性肠梗阻主要表现是呕吐可有可无，少量排气排便。

1410. 胆道蛔虫病的典型表现中，下列哪一项是错误的
   A. 右上腹“钻项样”剧烈疼痛
   B. 突然发病，突然缓解
   C. 常伴有上腹部肌紧和反跳痛
 ->D. 常有蛔虫呕出
   E. 可伴有黄疸
解析：胆道蛔虫病很少有蛔虫呕出的表现。

1411. 急性胆管炎致病菌的主要来源于
 ->A. 肠道逆行入侵胆道
   B. 淋巴管道
   C. 经门静脉
   D. 邻近脏器
   E. 经肝动脉
解析：急性胆管炎致病菌的主要来源于肠道逆行入侵胆道。

1412. 胰腺癌与胆总管结石的主要鉴别点是
 ->A. 腹痛的性质与程度
   B. 肝功能改变
   C. 血尿淀粉酶改变
   D. 胆囊肿大
   E. 进行性加重的黄疸

1413. 下列检查中，对诊断溃疡性结肠炎最有价值的是
   A. 血液检查：轻、中度贫血，重症白细胞增多，SR增高
   B. 粪便检查：黏液脓血便
   C. 免疫学检查：IgG、IgM可稍有增加，抗大肠黏膜抗体阳性
   D. X线检查：见黏膜皱襞粗大紊乱；肠壁边缘呈毛刺状、锯齿状、水管状或充盈缺损
 ->E. 纤维结肠镜检查：黏膜弥漫性充血、水肿、糜烂、溃疡，可肠黏膜活检

1414. 下列对直肠、肛管损伤的处理中，正确的是
   A. 腹膜内直肠伤，局部清创缝合，乙状结肠造瘘
   B. 腹膜外直肠伤，切开盆底腹膜反折处，充分清洗做修补，乙状结肠造瘘
   C. 肛管伤，局部清创，乙状结肠造瘘，骶骨前置入烟卷引流
   D. 以上都不是
 ->E. 以上都是

1415. 食管胃底静脉曲张破裂大出血时，首先宜采取的治疗措施是
 ->A. 紧急三腔二囊管压迫止血
   B. 急诊贲门周围血管离断术
   C. 急诊脾切除术
   D. 急诊经颈静脉肝内门体分流术
   E. 急诊远端脾-肾静脉分流术

1416. 下列血管疾病中，Perthes试验阳性的是
   A. 动静脉瘘
   B. 单纯性大隐静脉曲张
 ->C. 深静脉血栓形成
   D. 原发性下肢深静脉瓣膜功能不全
   E. 血栓闭塞性脉管炎

1417. 外科治疗消化性溃疡的目的是
   A. 防止溃疡发生恶变
   B. 去除溃疡病灶
   C. 防止溃疡并发症
   D. 消除临床症状
 ->E. 治愈溃疡，消除症状，防止复发

1418. 为规范乳腺癌腋窝淋巴结的清扫范围，下列腋区淋巴结的划分中，错误的是
   A. 通常以胸小肌为标记，将腋区淋巴结分为三组
   B. Ⅰ组即腋下（胸小肌外侧）组：包括乳腺外侧、中央、肩胛下组及腋静脉淋巴结
   C. Ⅱ组即腋中（胸小肌后）组：胸小肌深面的腋静脉淋巴结
 ->D. 胸大小肌间淋巴结单独列为一组
   E. Ⅲ组即腋上（锁骨下）组：胸小肌内侧锁骨下静脉淋巴结
解析：胸大肌、胸小肌间淋巴结在划分中归属于Ⅰ组。

1419. 诊断胰岛素瘤的最准确方法是
   A. Wipple三联征
   B. 血糖空腹时2.2 mmol/L以下
   C. 葡萄糖耐量试验
   D. 饥饿试验
 ->E. 血胰岛素测定
解析：Wipple三联征对于诊断胰岛素瘤目前仍有重要的临床价值，但是不是所有的胰岛素瘤的患者的临床表现都有典型的Wipple三联征，因此目前胰岛素瘤的诊断还需要实验室检查确诊。所以正确答案是E。

1420. 关于原发性肝癌外科治疗的手术技术应用，下列错误的是
   A. 在第一肝门处结扎右门静脉、肝右动脉和右肝管，然后做规则性右半肝切除
   B. 用胶皮管间歇将肝十二指肠韧带全部阻断，然后沿预定肝切除线切肝
   C. 用套扎胶皮管套扎右半或左半肝肝门，阻断入肝血流，然后行左半肝或右半肝切除
   D. 同时将肝上和肝下下腔静脉、第一肝门完全阻断，然后切除巨大肝癌
 ->E. 左肝段或半肝切除后，结扎右门静脉和肝右动脉，右侧亦然

1421. 关于胆囊癌的临床特点，以下错误的是
   A. 女性多见，50岁以上者占90%
   B. 结石慢性刺激是重要致病因素，胆囊结石者占70%以上
   C. 组织病理学主要为腺癌，鳞癌、混合癌者少见
 ->D. 转移方式主要为血行转移，其次淋巴转移
   E. 早期因无特异性表现，诊断困难，一经确诊多为晚期

1422. 以下哪项不是齿状线的临床意义
 ->A. 齿状线上为直肠癌，多为鳞癌；线下为肛管癌，多为腺癌
   B. 是黏膜皮肤的分界线
   C. 神经分布不同，对疼痛反应不同
   D. 动脉血供来源不同
   E. 是直肠、肛管的分界线

1423. 胆总管损伤后放置T形管的时间要求是
   A. 至少2周
   B. 无时间限制
   C. 至少2个月
 ->D. 至少半年
   E. 以上都不是

1424. 下列不符合烧伤休克临床表现的是
   A. 烦躁不安
 ->B. 呼吸深、慢
   C. 血压下降
   D. 口渴，尿量减少，心率增快
   E. 外周静脉充盈不良，肢端凉

1425. 动脉硬化闭塞症出现静息痛往往提示
 ->A. 严重的缺血状态
   B. 肌肉代谢增加
   C. 交感神经兴奋
   D. 肌肉淤血或血肿形成
   E. 神经淋巴水肿
解析：动脉硬化闭塞症是全身性动脉粥样硬化在肢体局部的表现，是全身性动脉内膜及其中层呈退行性、增生性改变，结果使动脉壁增厚、僵硬、失去弹性，继发性血栓形成，引起动脉管腔狭窄，甚至发生阻塞，使肢体出现相应的缺血症状的疾病。当病变动脉不能满足下肢静息状态下血供时，患者即产生静息痛。静息痛是患肢趋于坏疽的前兆，应尽快治疗。

1426. 对消化道大出血最有价值的诊断方法是
   A. 临床观察判定
   B. 稀钡检查
   C. 红细胞比容测定
   D. 凝血因子的检查
 ->E. 急诊内镜检查
解析：临床观察无法准确判断出血部位和原因。故本选项错误。稀钡检查因有加重休克、刺激出血的不良反应，不作为急性出血期的常规检查。故本选项错误。红细胞比容测定无法帮助判断出血部位和原因。故本选项错误。凝血因子的检查无法帮助判断出血部位和原因。故本选项错误。急诊内镜检查可直接探明出血部位和原因，并可进行止血治疗。故本选项正确。

