1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
   A. 增加胶体液用量
   B. 急查血电解质、尿素氮及肌酐
   C. 检查导尿管是否通畅
   D. 静脉推注呋塞米
 ->E. 增加补液量、加快补液速度

871. 患者，6岁，B超示膀胱内1.5 cm×2 cm大小结石一枚，尿常规示白细胞20～25个/HP，应如何治疗
   A. 液电碎石
   B. 中草药排石
   C. 体外冲击碎石
   D. 耻骨上膀胱切开取石
 ->E. 耻骨上膀胱切开取石并行膀胱造瘘

872. 男性，39岁。因劳累、饮食无规律解柏油样黑便2天，发生呕血6小时急诊入院。既往有十二指肠球部溃疡病史3年。查体：T37.0℃，P120次/分，R24次/分，BP70/50 mmHg。烦躁不安，表情淡漠，贫血貌，四肢发冷。表浅静脉萎陷，毛细血管充盈迟缓，尿量20～30 ml/h。根据患者临床表现，估计其失血量约占全身血容量的
   A. 5%～10%
   B. 15%～30%
 ->C. 30%～40%
   D. 40%～50%
   E. >50%

873. 患者因肝癌行右肝部分切除术，术后出现血压下降、神志障碍，皮下出血斑，最可能是
   A. 急性心功能不全
   B. 急性肾衰
 ->C. 弥散性血管内凝血
   D. 急性呼吸窘迫综合征
   E. 急性肝功能不全

874. 男性，29岁。间歇性上腹部隐痛伴反酸、嗳气4年，解柏油样黑便1周。昨日劳累后突然呕吐鲜红色血，量约400 ml。根据患者情况，出血最可能的原因是
   A. 胆道出血
   B. 胃癌出血
   C. 食管胃底静脉曲张破裂出血
 ->D. 胃十二指肠溃疡出血
   E. 应激性溃疡出血

875. 女性，32岁。临床诊断甲状腺功能亢进。施行甲状腺次全切除术后24小时突然出现高热、大汗、心动过速、烦躁、恶心、呕吐。首先要想到的是
   A. 双侧喉返神经损伤
 ->B. 甲状腺危象
   C. 血肿压迫气管
   D. 气管塌陷或喉头水肿
   E. 迷走、交感神经损伤

876. 女性，40岁。近2个月间断出现左侧乳头溢血性液，挤捏乳头时血性溢液增多，无痛，乳房内未扪及肿块。首先考虑的疾病
   A. 乳房纤维腺瘤
   B. 乳房囊性增生病
 ->C. 乳管内乳头状瘤
   D. 乳癌
   E. 急性乳房炎

877. 女性，46岁。左眼视力减退半年。CT和MRI检查诊断为颅咽管瘤，直径约4 cm。施行手术切除后患者很快清醒。术后12小时突然出现意识障碍。此时应立即采取的措施是
   A. ICU监护
   B. 加大脱水药剂量
   C. 应用止血药
   D. 开颅探查
 ->E. 头颅CT检查，明确原因

878. 患者女，40岁。右下肢静脉曲张15年，长时间站立有酸胀感。查体：右小腿可见呈蚯蚓状曲张的静脉，胫前皮肤色素沉着，轻度凹陷性水肿。Trendelenburg试验（+），Perthes试验（一）。根据患者情况，临床可诊断为
 ->A. 单纯性下肢静脉曲张
   B. 原发性下肢深静脉瓣膜功能不全
   C. 下肢深静脉血栓形成
   D. 动静脉瘘
   E. 血栓性浅静脉炎

879. 女性，47岁。十二指肠球部溃疡多年，近两个月来，食后上腹胀满，呕吐，吐宿食。查体：消瘦，脱水征，上腹稍膨隆，偶见胃型，有振水音，治疗应首先选择
   A. 使用抗酸，解痉药治疗
 ->B. 胃肠减压，补液，温盐水洗胃后行胃大部切除术
   C. 补液，洗胃继续观察
   D. 选择性迷走神经切除+幽门成形术
   E. 急诊胃大部切除术

880. 女性生殖器结核最常见的是
 ->A. 输卵管结核
   B. 子宫内膜结核
   C. 结核性子宫内膜炎合并卵巢结核
   D. 卵巢结核
   E. 子宫颈结核

881. 男性，33岁。有胃病史4年，既往多次排柏油样便病史。4小时前突发上腹部刀割样剧痛，腹部板样强直，术中证实为十二指肠球部前壁穿孔，应首选何种方法
   A. 穿孔修补术
   B. 毕Ⅰ式胃大部切除术
 ->C. 毕Ⅱ式胃大部切除术
   D. 穿孔修补术+胃空肠吻合术
   E. 穿孔修补术+选择性迷走神经切除术

882. 男性，32岁。洗澡时发现左侧阴囊肿块就诊。查体：左侧睾丸肿大、质硬、沉重感。透光试验阴性。B超检查：左睾丸实质占位，CT检查未见腹膜后淋巴结肿大。行左睾丸高位切除术，病理报告为左睾丸胚胎癌。有关睾丸胚胎癌的特点，不正确的是
   A. 睾丸肿瘤几乎都属于恶性
 ->B. 胚胎癌是睾丸肿瘤中对放射治疗最敏感的
   C. 胚胎癌的治疗应包括腹膜后淋巴结清除术
   D. 胚胎癌是生殖细胞肿瘤
   E. 胚胎癌应配合化学治疗

883. 男性，52岁。大便带血1周，肠镜确诊乙状结肠癌，CT发现肝右后叶4 cm大小孤立转移灶，治疗选择
   A. 全身化疗
   B. 乙状结肠癌切除+肝动脉灌注化疗栓塞
   C. 乙状结肠癌切除+肝脏瘤内注射无水酒精
   D. 乙状结肠癌切除+肝肿瘤射频消融术
 ->E. 乙状结肠癌切除+肝转移癌切除

884. 女性，27岁。活动后突感右下腹放射痛，伴恶心。既往有同样发作史。查体：腹软，右下腹有深压痛，无肌紧张。右肾区叩痛明显。尿常规：白细胞3～4个/HP，红细胞20～30个/HP，X线腹部平片：右输尿管上段有一0.8 cm阴影，B超检查：右肾轻度积水。目前最好的治疗方法是
   A. 体外震波碎石
   B. 输尿管切开取石
   C. 肾镜取石
 ->D. 解痉止痛后体外震波碎石
   E. 非手术排石

885. 男性，35岁，农民，两小时前在劳动中无诱因突然出现上腹部剧烈刀割样疼痛，迅速遍及全腹，不敢直腰走路。肝浊音界消失，全腹有明显的腹膜刺激征，肠鸣音消失。最可能的诊断是
   A. 急性阑尾炎穿孔腹膜炎
   B. 胆囊穿孔腹膜炎
 ->C. 胃十二指肠溃疡穿孔
   D. 绞窄性肠梗阻
   E. 急性重症胰腺炎

886. 男性，45岁。上腹部疼痛10余天，近日加重，胃镜和钡餐透视证实为十二指肠后壁溃疡，行手术治疗的恰当术式应是
   A. 幽门成形术
   B. 毕Ⅰ式胃大部切除术
 ->C. 毕Ⅱ式胃大部切除术
   D. 胃肠吻合术
   E. 溃疡切除术

887. 男性，35岁，咽痛、发热1天后出现肉眼血尿，尿常规：蛋白阴性，尿红细胞满视野，进一步检查首选
   A. ASO
   B. 蛋白电泳
 ->C. 尿红细胞形态相差显微镜检查
   D. 中段尿培养
   E. 静脉肾盂造影

888. 男，4岁半。腹部外伤。术查发现脾下极有一4 cm裂伤，深1.5 cm。最佳的手术方式是
   A. 脾下极切除术
   B. 脾动脉结扎术
   C. 脾切除术
 ->D. 脾修补术
   E. 明胶海绵充填术

889. 女性，27岁。面部挫裂伤后眼睑部位皮肤软组织缺损1 cm×2 cm，若采用全厚皮片移植修复，供皮区首先考虑
 ->A. 耳后区
   B. 上臂内侧
   C. 腹部
   D. 前臂内侧
   E. 侧胸部

890. 患者男，27岁。腹部被刺刀穿透，有大网膜及肠管部分脱出。在现场正确的处理措施是
 ->A. 用清洁纱布或碗覆盖保护，妥善包扎后送医院
   B. 迅速将肠管还纳于腹腔，用干净衣物包扎
   C. 用自来水清洁后，暂时包扎
   D. 紧急送医院处理
   E. 将肠管还纳用消毒棉垫加压包扎

891. 女性，15岁。4周前发热、咽痛。10天来眼睑浮肿，6小时前突然出现头痛、意识不清、抽搐，数分钟后意识清醒。检查：血压170/110 mmHg，血红蛋白115 g/L，尿红细胞15～20个/HP。尿蛋白（++），血肌酐200 μmol/L。最可能的诊断是
   A. 尿毒症脑病
   B. 急进性肾小球肾炎
   C. 慢性肾小球肾炎
   D. 高血压病
 ->E. 急性肾小球肾炎并发高血压脑病

892. 患者男，61岁。胃窦部癌4 cm×3 cm大小， 已累及浆膜层。CT检查：肝左外叶有一3 cm大小孤立转移灶，其他脏器无转移。治疗宜选择
   A. 根治性胃大部切除+左肝动脉栓塞术
   B. 根治性胃大部切除术+肝左动脉结扎
   C. 化疗或放疗
 ->D. 根治性胃大部切除+左肝外叶切除术
   E. 胃空肠吻合术
解析：胃癌伴肝转移，孤立病灶，首选胃癌根治+I期肝转移癌切除术，术后辅以化疗，是目前指南推荐的首选方案，对于肿瘤无法切除的可予以新辅助化疗后评估手术风险。

893. 患者男，50岁。慢性肝病15年。突然呕血400 ml。查体：巩膜轻度黄染。腹软无压痛，肝肋下未扪及，移动性浊音阳性。首先要考虑的诊断是
   A. 胆道出血
   B. 十二指肠溃疡出血
   C. 胃癌出血
 ->D. 食管静脉曲张破裂出血
   E. 出血性胃炎

894. 男性，17岁。感冒1周后出现颜面及双下肢浮肿。查体：血压140/90 mmHg，颜面及双下肢轻度浮肿。尿常规：蛋白（++），红细胞（+）。Scr176 μmol/L，补体C3轻度下降。诊断为急性肾小球肾炎。下列哪类药物不宜使用
   A. 利尿剂
   B. 血管紧张素转换酶抑制剂
   C. 血管紧张素Ⅱ受体拮抗剂
 ->D. 糖皮质激素
   E. 钙离子拮抗剂

895. 女性，54岁。既往无消化性溃疡病史，全身大面积烧伤2天，3小时前突然出现呕血、黑便，针对该患者首选的检查方法是
   A. X线钡餐检查
   B. 选择性血管造影
 ->C. 纤维胃镜
   D. CT检查
   E. 腹部透视

896. 女性，22岁。转移性右下腹痛5天，体温37℃，右下腹肌稍紧张，可触及8 cm×5 cm包块伴压痛，下列哪项处理是不合适的
   A. 中药辅助治疗
   B. 可食流质饮食
   C. 抗生素应用
 ->D. 行阑尾切除术
   E. 针灸或理疗

897. 患者女，27岁。苯酚烧伤1小时。查体：烧伤面积8%，均为Ⅲ度，位于双下肢。此时，应立即采取的治疗措施是
   A. 清创后外用胶原酶
   B. 清创后外用SD-Ag
   C. 清创后外用中药
   D. 清创后敷料包扎
 ->E. 急诊手术切痂

898. 男，20岁。头痛、呕吐、视力下降2个月。6个月前曾患开放性颅脑外伤、颅内感染，已治愈。腰穿测压280 mmH<sub>2</sub>O，脑脊液清亮透明。头颅CT提示双侧脑室及三、四脑室扩大。最可能的诊断是
   A. 慢性小脑扁桃体下疝畸形
   B. 梗阻性脑积水
 ->C. 交通性脑积水
   D. 脑占位性病变
   E. 颅内感染

899. 女性，63岁，冠心病史多年，反复浮肿、尿少10年，查Hb70 g/L，血压150/90 mmHg，尿蛋白（++），尿红细胞6～10个/HP，尿白细胞2～3个/HP，尿比重1.010～1.012，临床诊断为慢性肾小球肾炎，血BUN31 mmol/L，Cr407 μmol/L，CCr40 ml/min，该患者功能分期应属于哪项
   A. 肾功能正常期
   B. 肾功能代偿期
   C. 肾功能不全衰竭期
   D. 尿毒症期
 ->E. 肾功能失代偿期

900. 患者男，35岁，体重60 kg。烧伤总面积50%，伤后2周。按照Curreri公式，计算毎曰热卡的需要量应为
   A. 4000 kcal
   B. 3000 kcal
 ->C. 3500 kcal
   D. 2500 kcal
   E. 4500 kcal

901. 男性，49岁。右上腹部胀痛伴黄疸半月入院，B超及CT示胆管扩张，ERCP示十二指肠乳头有隆起，黏膜不规则。应考虑为
   A. 胰头癌
   B. 胆囊癌
   C. 胆管癌
 ->D. 壶腹部癌
   E. 肝癌

902. 男性，36岁。腰背痛1年，双下肢无力2个月。脊髓腔碘油造影：造影剂在肿瘤下端梗阻，梗阻面造影剂呈“杯口状”充盈缺损，肿瘤影偏一侧，脊髓影被肿瘤推向对侧。根据上述情况，首先要考虑的肿瘤是
   A. 血管瘤
   B. 脂肪瘤
 ->C. 神经鞘瘤
   D. 肉瘤
   E. 室管膜瘤

903. 患者男，40岁。烧伤面积80%，Ⅲ度烧伤。创面处理的方法宜采用
 ->A. 有计划分期切痂植皮
   B. 应用中药
   C. 一次性切痂植皮
   D. 自然脱痂植皮
   E. 磺胺嘧啶银冷霜保痂

904. 患者男性，35岁，车祸致伤后3h入院，入院时患者呈昏迷状，双侧瞳孔等大等圆，对光反应存在，痛刺激无睁眼，肢体呈屈曲反应。头颅CT示侧脑室少量出血，额叶白质内有散在挫伤灶，未见颅内血肿，中残结构居中，侧脑室和脑地形态基本正常。最可能的诊断是
   A. 急性硬膜下血肿
   B. 脑室出血
   C. 脑挫裂伤
 ->D. 弥漫性轴索损伤
   E. 外伤性蛛网膜下腔出血

905. 患者男，40岁。烧伤面积50%，Ⅲ度。经抗休克、抗感染等治疗后，一般情祝尚可。伤后第3天患者先后两次解柏油样黑便，量约400 ml。既往无溃疡病史。首先要考虑的烧伤并发症是
   A. 胃溃疡
   B. 急性出血性胃炎
   C. 脓毒症
   D. 十二指肠球部溃疡
 ->E. Curling溃疡

906. 男性，28岁。大面积烧伤。广谱抗生素治疗第10天骤起寒战，体温39.5～40℃。神志淡漠、嗜睡、血压下降。实验室检查：白细胞3.2X10<sup>9</sup>，分类见中幼与晚幼粒细胞。血培养为白色念珠菌。诊断为全身性真菌感染。抗真菌感染药物治疗首选
   A. 多黏菌素
   B. 替考拉宁
   C. 米诺环素
   D. 利奈唑胺
 ->E. 卡泊芬净

907. 女性，24岁。尿频、尿急症状约2年，有明确的终末血尿。尿常规检查：脓细胞（+++），红细胞（+）。尿细菌培养阴性，IVU检查：左肾未显影，左肾区可见斑片状高密度阴影，右肾盂肾盏显示光滑，有轻度积水。诊断应为
 ->A. 左肾结核
   B. 左肾结石
   C. 右肾结核
   D. 左输尿管结石
   E. 双肾结核

908. 男性，6岁。反复便血1个月，大便次数及性状正常。首先要考虑的诊断是
   A. 肛裂
   B. 肛窦炎
 ->C. 直肠息肉
   D. 内痔
   E. 肛乳头肥大

909. 男性，50岁。中上腹部疼痛伴腹胀、嗳气10年，消瘦3个月。胃镜检查发现胃窦部有一直径2.5 cm大小溃疡灶，活检病理报告轻度不典型增生。根据患者情况，治疗宜采取
   A. 迷走神经切断术
 ->B. 胃大部切除术
   C. 西咪替丁治疗
   D. 甲溴阿托品治疗
   E. 以上都不是

910. 女性，30岁，因右面部灰蓝色斑块20余年入院。查体见右面部斑块分布于右前额、眼周、颧部、颊部皮肤及右眼结膜，由呈蓝色、灰色的斑点所构成。诊断首先要考虑
   A. 黑色素细胞痣
   B. 蓝痣
   C. 蒙古斑
 ->D. 太田痣
   E. 伊藤痣

911. 患者男，35岁，2小时前劳动中无诱因突然出现上腹刀割样疼痛，迅速波及全腹，不敢直腰，肝浊音界消失，舟状腹，有腹膜刺激征，应诊断为
   A. 阑尾炎穿孔，弥漫性腹膜炎
   B. 宫外孕破裂
 ->C. 溃疡病穿孔
   D. 绞窄性肠梗阻
   E. 急性出血性胰腺炎

912. 患者男，70岁。右腹股沟区可复性包块4年，不能还纳，伴腹痛8小时。临床诊断右腹股沟斜疝并嵌顿。急诊手术，术中发现嵌顿段小肠色暗，无蠕动，行部分肠切除。此时，如果高位结扎疝囊的同时行疝修补术，则易导致修补失败，其主要的原因是
   A. 组织水肿，脆性增加
   B. 解剖关系不清，难以做到高位结扎
   C. 局部渗出，影响愈合
   D. 局部渗血，形成血肿
 ->E. 切口感染

913. 患者，女性，58岁。诊断急性肾衰竭，血钾5.6 mmol/L。下列治疗措施有原则性错误的是
 ->A. 10%氯化钾20 ml静脉滴注
   B. 山梨醇5 g，每2小时口服1次
   C. 5%碳酸氢钠溶液100 ml，缓慢静脉滴注
   D. 25%葡萄糖注射液加胰岛素（3～5 g：1U）200 ml，缓慢静脉滴注
   E. 口服钠型树脂15g，每日3次

914. 男性，22岁。因打架被他人用刀从左腰部刺入体内，伤后血尿，腹痛，伤口流血不止2小时来院。查体：P100次/分，BP100/70 mmHg。左腰三角处伤口4 cm长，深度约7～8 cm，伤口流出新鲜血。全腹压痛，肌紧张明显。应采取的紧急治疗措施是
   A. 经腰部切口探查肾脏
   B. 经腰部切口探查肾脏和腹腔脏器
 ->C. 经腹切口探查腹腔脏器及阻断肾蒂后探查肾脏
   D. 经腹切口探查腹腔脏器
   E. 输血、补液密切观察病情变化

915. 患者，女性，62岁。全程肉眼血尿一周来诊。膀胱镜检查发现膀胱后壁直径1.6 cm大小乳头状肿瘤，有蒂，尿细胞学检查：移行上皮癌Ⅰ～Ⅱ级，其最佳治疗方案是
   A. 膀胱内灌注噻替哌
   B. 膀胱部分切除术
 ->C. 经尿道膀胱肿瘤电切除术（TURBT）
   D. 膀胱全切除术
   E. 膀胱切开肿瘤切除术

916. 男性，26岁。骑跨伤后4天，排尿困难，尿道口仍流血。查体：体温38.5℃，阴囊明显肿大青紫，能触有波动感，下腹可触到胀大膀胱。最佳的治疗方案是
   A. 立即行双腔尿管导尿并留置
   B. 立即用金属尿管导尿
   C. 立即行尿道修补术
   D. 立即行尿道会师术
 ->E. 耻骨上膀胱造瘘及引流会阴部积血尿外渗

917. 患者，女性，28岁。因体检发现无症状单纯血尿（肾小球源性）住院。查血压、肾功能、B超和血清补体均无特殊发现。下列检查中哪项对诊断最有帮助
 ->A. 肾活检术
   B. 尿路平片
   C. 排泄性尿路造影
   D. 肾区CT或MRI
   E. 血清免疫球蛋白

918. 男性，28岁。不慎坠楼，骑跨于铁栏杆上，伤后尿道流血，会阴皮肤青紫肿痛。最可能损伤的部位是
   A. 膀胱破裂
   B. 前列腺尿道损伤
   C. 膜尿道损伤
 ->D. 球尿道损伤
   E. 阴茎部尿道损伤

919. 女性，50岁，因子宫癌行全子宫切除术，术后当日无尿。术前肾功能正常，术中出血不多。无尿的原因最可能是
   A. 急性肾前性肾衰竭
   B. 慢性肾衰竭
 ->C. 手术误扎双侧输尿管
   D. 肿瘤转移压迫双侧输尿管
   E. 下尿路梗阻

920. 男性，60岁。因门静脉高压症行分流术，术后第3天，出现嗜睡、烦躁不安、黄疸、少尿等，应考虑
   A. 静脉血栓形成
   B. 膈下脓肿
 ->C. 肝性脑病
   D. 内出血
   E. 休克

921. 女性，33岁。明显梗阻性黄疸。B超显示，胆总管及肝内胆管均不扩张。若进一步诊断，选择下列哪项检查最适宜
   A. 放射性核素胰腺扫描
   B. 经皮肝穿刺胆管造影术
   C. 腹腔镜检查
 ->D. 逆行胰胆管造影
   E. 十二指肠低张造影

922. 患者女，32岁，主诉右乳胀痛，与月经周期有关，检查乳房可触及多个结节状肿块，边界不清，可推动，以下应首先考虑的诊断是
   A. 乳腺癌
   B. 乳腺纤维腺瘤
 ->C. 乳腺囊性增生病
   D. 乳管内乳头状瘤
   E. 乳腺肉瘤

923. 患者，男性，40岁。腰部撞击伤后因腰腹痛、血尿收入院，诊断为左肾裂伤。经抗休克、抗感染治疗，病情稳定。2周后，患者出现高热T39.6℃，伴腹痛加剧。BP90/50 mmHg，P120次/分，面色苍白，左上腹包块突然增大伴肌紧张。下列哪种可能性大
   A. 感染所致的迟发性脾破裂大出血
 ->B. 肾周感染继发肾破裂大出血
   C. 肾外伤后肾积水感染
   D. 肾周感染伴麻痹性肠梗阻
   E. 肾周感染所致的感染中毒性休克

924. 男性，76岁。尿频、尿不尽感近1年，进行性排尿困难2个月。血PSA50ng/ml。直肠指诊前列腺质地较硬，表面凹凸不平感。诊断首先要考虑
   A. 细菌性前列腺炎
 ->B. 前列腺癌
   C. 前列腺增生
   D. 前列腺结核
   E. 非细菌性前列腺炎

925. 患者女，30岁。右上肢开水烫伤1小时。查体：右上肢散在小水疱，部分表皮脱落，创基红白相间，感觉迟钝。临床诊断为深Ⅱ度烫伤。在不感染的情况下，需多长时间可以痊愈
   A. 1～2周
   B. 1周内
   C. 2～3周
 ->D. 3～4周
   E. 4～6周

926. 女性，48岁。Ⅱ期内痔多年，几小时前排便后，痔核没有还纳，现肿胀，疼痛，伴肿物压痛，考虑是
   A. 炎性外痔
   B. 血栓性外痔
 ->C. 内痔嵌顿
   D. Ⅱ期内痔
   E. Ⅲ期内痔

927. 女性，45岁。颈前区肿大，伴疼痛3天。1周前有上呼吸道感染史。查体：双侧甲状腺肿大，质地韧，有压痛。实验室检查：血沉50 mm/h，T3、T<sub>4</sub>升高，摄碘率下降。临床可初步诊断为
   A. 桥本甲状腺炎
 ->B. 亚急性甲状腺炎
   C. 急性化脓性甲状腺炎
   D. 慢性硬化性甲状腺炎
   E. 结节性甲状腺肿

928. 男性，12岁。近1个月多次突发上腹剑突下钻顶样疼痛，呻吟不止，伴恶心、呕吐。腹痛可突然自行缓解。半小时前再次出现上述症状。查体：巩膜轻度黄染，全腹软，上腹剑突下轻度深压痛，无腹部肌紧张。诊断首先要考虑
   A. 急性非结石性胆囊炎
   B. 急性化脓性胆管炎
   C. 慢性非萎缩性胃炎
 ->D. 胆道寄生虫病
   E. 慢性胆囊炎

929. 男性，67岁。体检时发现前列腺有一个大小为1 cm的硬结，两次直肠内触摸下穿刺活检报告都是前列腺增生。下一步应采取的检查措施是
   A. 前列腺B超
   B. 重复直肠内触摸下前列腺穿刺活检
   C. 经尿道镜切除活检
 ->D. 经直肠B超引导下穿刺活检
   E. 以上都不是

930. 患者男，35岁，吸烟史15年，主诉右下肢麻木、发凉、间歇性跛行8年，以下尤为重要的措施是
   A. 使用抗生素
   B. 使用激素
   C. 使用免疫抑制剂
   D. 嘱患者防止受寒
 ->E. 嘱患者戒烟

931. 患者，男性，25岁，建筑工人，跌倒时会阴部撞击于硬物上，欲尿不能，很快出现阴茎、阴囊、会阴和下腹壁肿胀瘀斑，其肿胀原因最可能为
   A. 局部挫伤
   B. 炎性肿胀
   C. 局部水肿
 ->D. 血肿尿外渗
   E. 阴茎海绵体破裂

932. 患者男，35岁。被热油烫伤12小时。查体：血压75/50 mmHg。烫伤总面积60%，深Ⅱ度。抗休克用CVP监测，当监测值为3 cmH<sub>2</sub>
O时，表明
   A. 血容量相对不足
   B. 心功能不全
   C. 容量血管过度舒张
 ->D. 血容量严重木足
   E. 容量血管过度收缩

933. 男性，77岁。排尿不畅8年，反复发生尿潴留，多次留置导尿管。查体：膀胱上界达脐下2指，直肠指诊前列腺明显增大、质韧，中央沟消失。血肌酐240 μmol/L。错误的处理是
   A. 先留置导尿管引流
 ->B. 先用α受体阻断药改善排尿功能
   C. 尿动力学检查
   D. 肾功能改善后可行经尿道前列腺电切术
   E. 腹部B超检查

934. 患者，男性，19岁。3周前因急性化脓性扁桃体炎发热，治疗后好转，近日来出现眼睑水肿、血压增高、尿少，首先应该选择哪项检查
   A. 血常规，尿常规，大便常规
 ->B. 血常规，尿常规，血C3、C4
   C. 肾脏B超，超声心动检查
   D. 心电图，血脂分析
   E. 血浆蛋白，眼底检查

935. 女性，30岁。被人刺伤颈部，查体：患者除颈部伤口血肿外，还有声音嘶哑，可能存在的诊断是
   A. 食管损伤
   B. 膈神经损伤
 ->C. 喉返神经损伤
   D. 副神经损伤
   E. 颈部交感神经损伤

936. 女性，23岁。颈侧区单发肿块1个月可排除下列哪种疾病
 ->A. 甲状腺舌骨囊肿
   B. 囊状淋巴管瘤
   C. 颈动脉体瘤
   D. 血管瘤
   E. 胸腺咽管囊肿

937. 女性，32岁。因甲亢行手术治疗，手术后第2天患者突然出现面部及四肢抽搐，应给予的处理是
   A. 激素
   B. 抗甲状腺药物
   C. 镇静剂
   D. 甲状腺素
 ->E. 钙制剂

938. 男性，40岁。突然呕血300 ml，色暗红，伴黑便两次。查体：蜘蛛痣（+），肝右肋缘下1 cm，质硬，脾左肋缘下3 cm，移动性浊音阳性。根据患者情况，应立即采取的措施是
   A. 口服胃黏膜保护剂
   B. 给予成分输血
   C. 静脉注射维生素K<sub>3</sub>
   D. 静脉注射止血敏（酚磺乙胺）
 ->E. 静脉滴注垂体后叶素

939. 男，30岁，1年来有过2次后腰部阵发剧痛，1d前无尿，为明确尿闭原因，下列检查中应首选
   A. 经静脉肾盂造影
   B. 逆行性肾盂造影
   C. 肾血管造影
   D. 肾CT检查
 ->E. KUB平片

940. 患者术后48小时内发热至38.0℃，其可能的原因是
   A. 手术时间长（>2小时）
   B. 广泛组织损伤
   C. 术中输血
   D. 药物过敏
 ->E. 以上都是

941. 女性，51岁。中腹部疼痛12小时，扩散至全腹2小时，查右下腹部有压痛、反跳痛及肌紧张，腹透（-），化验：白细胞21×10<sup>9</sup>/L，N87%，尿中红细胞3～4个/HP，应考虑哪一种疾病
   A. 急性胰腺炎
   B. 右侧输卵管妊娠破裂
   C. 急性胆囊炎
   D. 右侧输尿管结石
 ->E. 急性阑尾炎穿孔

942. 患者男，26岁，身高1.6 m。烧伤面积为80%，50%深Ⅱ度、30%Ⅲ度。估算该患者伤后每天需要的热量约为
   A. 2000kcal
   B. 2500kcal
   C. 3000kcal
 ->D. 3500kcal
   E. 4500kcal

943. 男性，10个月。左腹股沟可复性包块1个月。临床诊断左腹股沟斜疝。目前的处理宜采取
   A. 限期手术
 ->B. 暂不手术
   C. 急诊手术
   D. 择期手术
   E. 及早手术

944. 患者男，30岁，吸烟12年，出现右下肢麻木、怕冷、发凉，行走1公里左右出现右下肢疼痛，休息后缓解，以下诊断可能为
 ->A. Buerger病局部缺血期
   B. Buerger病营养障碍期
   C. Buerger病坏疽期
   D. 右下肢动脉粥样硬化
   E. 雷诺综合征

945. 患者男，48岁。右上腹疼痛伴寒战、高热、黄疸1天。查体：T 39.6℃，BP 83/60 mmHg。全身皮肤、巩膜黄染，右上腹及剑突下压痛明显，可扪及肿大的胆囊。实验室检查：白细胞26×107/L，N 90%。诊断首先考虑
   A. 肝脓肿
   B. 急性胆囊炎
   C. 急性胰腺炎
 ->D. 急性梗阻性化脓性胆管炎
   E. 肝内胆管结石继发胆道感染
解析：此患者有典型的腹痛，发热，黄疸（夏柯三联征），如病情加重出现休克（血压83/60mmHg），神志改变则称之为雷诺五联征，故诊断急性梗阻性化脓性胆管炎成立。

946. 男性，27岁，双侧精索静脉曲张，以左侧为显（重度）。术前精液常规检查提示弱精子症，术后精液质量显著改善。关于精索静脉曲张影响精液质量的因素，正确的是
   A. 精索静脉内血液滞留，使局部温度升高
   B. 影响睾丸血运，睾丸组织内CO<sub>2</sub>蓄积影响精子发生
   C. 左侧精索内静脉反流带来肾上腺和肾脏分泌产物至睾丸，影响精子质量
   D. 左侧精索静脉通过交通支将毒素带至右侧睾丸，影响对侧睾丸精子发生
 ->E. 以上都是

947. 男性，56岁。左腹股沟肿物10年，行路时出现，平卧后消失，3小时前突感肿物疼痛，用手压迫亦不能还纳，伴恶心，未呕吐，无发热，白细胞8×10<sup>9</sup>/L，考虑为
   A. 可复性疝
   B. 难复性疝
 ->C. 嵌顿性疝
   D. 绞窄性疝
   E. 滑疝

948. 女性，25岁，心悸、甲状腺肿大，并伴有轻度呼吸不畅，压迫感，首次妊娠两个月余，诊为原发性甲亢，最有效的治疗方法是
   A. <sup>131</sup>I治疗
   B. 抗甲状腺药物治疗
   C. 终止妊娠
 ->D. 甲状腺大部切除
   E. 心得安治疗

949. 女性，36岁。右侧血性乳头溢液，右侧乳晕区1点钟位近乳头处可触及小肿物，约黄豆大小，伴压痛，质中，界限不清，压迫时可见乳头溢出血性液体，最可能的诊断是
   A. 乳腺导管内增生
 ->B. 乳腺导管内乳头状瘤
   C. 乳腺囊性增生癌症
   D. Paget病
   E. 乳腺脓肿

950. 女性，18岁。急性化脓性阑尾炎穿孔行阑尾切除术。术后第4天持续发热伴寒战，偶有呃逆及右上腹痛。查体：T39.0℃。右下肺呼吸音弱。腹部X线平片：右膈膨隆，可见气液平，肋膈角少量积液。WBC20×10<sup>9</sup>/L，N90%。最可能的术后并发症是
   A. 右下肺炎
   B. 右下肺不张
   C. 右侧胸膜炎
 ->D. 右膈下脓肿
   E. 肝脓肿

951. 患者男，50岁。临床诊断十二指肠溃疡穿孔，急诊施行穿孔修补术后第6天。患者出现发热，大便次数增多，解黏液便，里急后重。查体：T 38.0℃。腹胀，下腹压痛，轻度反跳痛，无肌紧张。最可能的术后并发症是
   A. 切口感染
   B. 膈下脓肿
 ->C. 盆腔脓肿
   D. 肠间隙脓肿
   E. 小网膜囊积液

