1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 输液+止血药物
 ->B. 宫颈评分行人工破膜引产
   C. 即刻剖宫产术
   D. 期待疗法
   E. 给氧纠正胎儿窘迫

695. 女性患者，45岁，反复外阴瘙痒2年，体检可见外阴多个灰色粗糙隆起，活检提示：CIN基底细胞型。最佳治疗方案是
   A. 激光治疗
   B. 微波治疗
 ->C. 单纯外阴切除
   D. 外阴皮肤切除
   E. 5%氟尿嘧啶软膏外涂

696. 女性，38岁，子宫下段剖宫产术后10年，近3年出现痛经，进行性加剧，妇科检查：子宫活动差，后穹隆可触及多个痛性小结节，其诊断首先考虑为
   A. 多发性桨膜下子宫肌瘤
   B. 卵巢浆液性乳头状癌
 ->C. 子宫内膜异位症
   D. 子宫腺肌病
   E. 慢性盆腔炎或陈旧性异位妊娠

697. 患者34岁。闭经4个月，孕激素试验阳性，闭经的原因最不可能为
   A. 垂体性
   B. 下丘脑性
   C. 卵巢性
 ->D. 子宫性
   E. 以上都不对

698. 孕36周，第1胎，发现血压升高3周，今晨突然腹痛，诉为持续性，阵发加重，血压150/98 mmHg，心率112次/分，尿蛋白（++），阴道有少量出血。此时对诊断最有用的检查是
   A. 血红蛋白
   B. 白细胞计数+分类
   C. 红细胞比积
 ->D. B超
   E. 眼底检查
解析：B型超声检查协助胎盘种植部位及早剥的程度，明确胎儿大小及存活情况。

699. 女性，48岁，因子宫肌瘤行子宫切除术后5年，出现潮热、出汗，严重影响工作和生活，无禁忌的情况下采用哪种治疗方案最佳
 ->A. 单用雌激素
   B. 单用孕激素
   C. 单用雄激素
   D. 雌孕激素序贯用药
   E. 雌孕激素联合用药
解析：患者出现严重更年期症状，宜采用激素替代治疗，该患者已切除子宫，单用埤激素即可，但应注意乳腺增生情况。围绝经期需要激素替代时，应用雄孕序贯方案，子宫内膜周期性脱落；绝经后需要激素替代时，应用雌孕激素联合方案；子宫切除后的病人某些情况下需要雄、孕激素联合治疗如：盆腔内膜异位症、次全子宫切除（部分内膜残留）。

700. 女性，26岁。人工流产后体温39.0℃，小腹疼痛拒按，呈脓性，白细胞18×10<sup>9</sup>/L，中性0.92，下列治疗方案哪项最佳
   A. 为尽快去除感染病灶，防止今后复发，宜行刮宫治疗
   B. 为防止反复发作，对盆腔炎患者的丈夫应同时治疗
   C. 做细菌培养+药敏试验以选用适宜药物
 ->D. 宜选用广谱抗生素配以抗厌氧菌药物，等药敏结果出来后再适当调整
   E. 宜选用广谱抗生素配以抗厌氧菌药物，同时做阴道冲洗，局部抗感染治疗

701. 患者，现孕37周，为乙肝携带者，3天前出现皮肤黏膜黄染，纳差，恶心呕吐，门诊考虑重症肝炎入院。下列说法错误的是
   A. 妊娠患者重症肝炎死亡率高达60%
   B. 胆酶分离预示预后不良
 ->C. 剖宫产可以减少胎儿感染乙肝的概率
   D. 剖宫产采用纵切口
   E. 防治产后出血

702. 年龄32岁，女性，2型糖尿病2年，要求孕前咨询，应建议该妇女HbA1C控制标准为
 ->A. 未应用胰岛素者HbA1C<6.5%，应用胰岛素者HbA1C<7.0%
   B. 未应用胰岛素者HbA1C<5.5%，应用胰岛素者HbA1C<6.0%
   C. 未应用胰岛素者HbA1C<6.5%，应用胰岛素者HbA1C<8.0%
   D. 未应用胰岛素者HbA1C<7.0%，应用胰岛素者HbA1C<7.0%
   E. 未应用胰岛素者HbA1C<8.0%，应用胰岛素者HbA1C<8.5%

703. 孕妇，27岁，G<sub>2</sub>P<sub>1</sub>，孕39周。入院时无腹痛，无阴道流水及流血。6年前行剖宫产术，具体情况不详。查体一般情况尚好，宫高37 cm，腹围110 cm，胎心134次/分，子宫下段轻压痛。超声示：BPD9.6 cm，胎儿颈部压迹，子宫下段菲薄，局部厚0.1 cm，加压后有膨出。该患何种处理方式较适宜
   A. 等待自然临产
   B. 严密监护下缩宫素静滴引产
 ->C. 行剖宫产术并行裂口修补
   D. 行剖宫产术并行子宫全切术
   E. 肌注哌替啶或地西泮抑制宫缩
解析：孕妇子宫下段厚0.1 cm，考虑为不完全子宫破裂，应行剖宫产术，裂口整齐无感染，可行修补缝合。

704. 女性，50岁。月经周期紊乱2年，现停经40天，基础体温单项，宫颈黏液羊齿状结晶呈高度影响，此时下列哪项为相应的子宫内膜表现
   A. 增生期图像
   B. 分泌期图像
   C. 萎缩期图像
   D. 分泌早期图像
 ->E. 增生过长图像

705. 患者，女性，26岁，在家足月自然分娩后3天，大便自阴道排出2天最可能的诊断是
 ->A. 粪瘘
   B. 阴道后壁脱垂
   C. Ⅲ度会阴裂伤
   D. 泌尿生殖瘘
   E. 生殖器官瘘

706. 产妇，23岁，哺乳期，产后10周无月经来潮，应采取的避孕措施是
   A. 产妇仍处在产褥期禁止性交
   B. 处于哺乳期没有排卵不用避孕
 ->C. 工具避孕
   D. 药物避孕
   E. 皮下埋植避孕
解析：不哺乳产妇平均10周恢复排卵，哺乳者平均在产后4～6个月恢复排卵，哺乳期产妇未见月经来潮有受孕可能，原则上哺乳者以工具避孕，不哺乳者可选择药物避孕。

707. 初孕，孕41周，临产12小时入院，宫高39 cm，估计胎儿3800 g，LOA，胎心好，宫缩强，阴道检查：宫颈已展平，开大5 cm，胎膜已破，头先露，-1，产瘤5 cm×5 cm×1.0 cm，宫缩时先露下降不明显。应采取何项处理
   A. 等待自然分娩
   B. 观察经过
 ->C. 剖宫产术
   D. 静点缩宫素
   E. 下床活动
解析：临产12小时，胎儿估计较大，宫缩良好，“宫颈已开大5 cm，胎膜已破，头先露，-1，产瘤出现，宫缩时先露下降不明显”，宫口开大5 cm时，胎头应在+2，核查产程记录，应诊为活跃期停止，原因是头盆不称，需要剖宫产结束分娩。

708. 女性，27岁。妊娠8周时出现阵发性下腹痛及多量阴道出血伴小块组织物排出，并引起失血性休克，应首先考虑
   A. 先兆流产
   B. 难免流产
 ->C. 不全流产
   D. 完全流产
   E. 过期流产

709. 患者，32岁，结婚5年不孕，两年来月经量少，近3个月闭经，经常低热，妇科检查：子宫稍小，活动欠佳，两侧宫旁组织增厚，右侧有4cm×4m×6cm肿物，轻度压痛，血沉30mm/h，子宫输卵管碘油造影呈串珠样改变，首选的治疗措施是
   A. 丹那唑口服
   B. 中药活血化瘀
   C. 静脉点滴青霉素
 ->D. 系统抗结核治疗
   E. 开腹探查术

710. 女性，34岁，阴道分泌物脓性增多伴尿频、尿痛1周，检查见尿道口红肿，子宫颈明显充血、水肿，有脓性分泌物自子宫颈口流出，子宫双附件无压痛。子宫颈分泌物涂片革兰染色发现革兰阴性双球菌，中性粒细胞＞30/高倍视野。其治疗正确的是
   A. 头孢曲松钠500mg肌内注射，每日1次，连用7日
   B. 头孢曲松钠1g肌内注射，每日1次，连用10日
   C. 左氧氟沙星500mg，每日1次，连服7日
   D. 阿奇霉素1g，单次顿服
 ->E. 头孢克肟400mg，单次顿服

711. 患者48岁。大量阴道出血伴重度贫血，第3次住院刮宫止血，内膜病理为子宫内膜不典型增生，血红蛋白60g/L，白细胞正常，血压130/80mmHg。下一步治疗用何方法较好
   A. 孕雄激素周期疗法
   B. 雌孕激素疗法
   C. 止血药
 ->D. 手术切除子宫
   E. 放疗

712. 28岁女性，停经50余天，阴道流血伴下腹隐痛5天，加剧半天，停经后有恶心、食欲不振等不适，妇科检查：阴道内有较多血块，宫颈口开大，见血块及组织块堵塞于宫颈内口，子宫约50天孕大，最可能的诊断是
   A. 不全流产
 ->B. 难免流产
   C. 先兆流产
   D. 完全流产
   E. 稽留流产

713. 女性，25岁。已婚，既往月经正常，月经过期7天前来就诊，要求明确是否怀孕，下列哪项检查对确诊最有帮助
   A. B超检查
 ->B. 酶联免疫法测定β-HCG
   C. 基础体温
   D. 宫颈黏液涂片镜检
   E. 孕酮撤退试验

714. 孕妇，34岁，有风湿性心脏病，二尖瓣狭窄病史。为避免心衰发生，以下哪种做法是错误的
   A. 预防上呼吸道感染
   B. 孕20周后补充铁剂
 ->C. 严格限制食盐量
   D. 每天保持10 h睡眠
   E. 多摄取高蛋白、高维生素、低脂肪的食物

715. 生理妊娠女性，停经34周，检查血Cr，出现以下哪项结果提示肾功受损。（非妊娠期血肌酐的实验室正常范围为88～177（μmol/L）
   A. 50 μmol/L
   B. 60 μmol/L
   C. 70 μmol/L
   D. 80 μmol/L
 ->E. 90 μmol/L
解析：非妊娠期血肌酐的实验室正常范围为88～177Mmol/L，妊娠晚期降至53～70.7，nmol/L，若超过88.l^mol/L表示肾功能受损。

716. 孕1产0，妊娠35周，因外伤后持续腹痛，伴少许阴道出血，胎心变快，B超拟诊为胎盘早剥，正确处理是
   A. 进行肛查宫口开大情况
   B. 给止痛镇静剂以减轻症状
 ->C. 立即剖宫产
   D. 立即内诊，根据宫口开大情况，进一步决定分娩方式
   E. 因孕月小，有胎心，尽量等待，保守观察
解析：胎盘早剥虽属轻型，但有胎儿窘迫征象，需抢救胎儿者需剖宫产。

717. 孕妇，38岁，孕3产1，孕37周由救护车急诊送院，患者血压210/120 mmHg，体温39.3℃，心率150次/分，恶心呕吐，烦躁不安。治疗上错误的是
   A. 立即服用碘剂，3 ml/次，每6小时
   B. 普萘洛尔减低心率
   C. 纠正水、电解质紊乱
   D. 立即终止妊娠
 ->E. 以剖宫产终止妊娠

718. 58岁，女性，绝经6年，腹胀腹痛2周，发现盆腔包块5天。2周前患者感到腹胀，并发现腹部逐渐隆起，偶有隐痛，但可缓解，曾去医院就诊，B超检查发现腹水和盆腔包块。发病后无恶心呕吐、腹泻和里急后重。绝经6年，无绝经后出血。体检：全腹稍隆起，无明显压痛、反跳痛和肌紧张，移动性浊音阳性。妇科检查：外阴阴道未见异常，子宫萎缩，盆腔内似可及一10 cm大小的囊实性包块，表面结节感，固定于子宫后方。三合诊子宫直肠窝可及无痛结节，直肠黏膜尚光滑。上述病例最重要的肿瘤标记物是
 ->A. CA125
   B. AFP
   C. CEA
   D. CA199
   E. SCC

719. 妇女，28岁，4日前在家分娩，手取胎盘完整娩出，阴道流血约400 ml，未行其他处理。自昨晨起寒战达39.4℃，呈弛张热型，下腹有压痛，盆腔有边缘不规整包块，不活动。该患者最可能的诊断为
   A. 急性阑尾炎
   B. 急性胰腺炎
   C. 慢性输卵管炎
 ->D. 急性盆腔结缔组织炎
   E. 盆腔肿瘤
解析：产褥感染，若病原体沿子宫旁淋巴或血行达宫旁组织，出现急性炎性反应而形成炎性包块，可同时波及输卵管系膜、管壁。若侵及整个盆腔，也可形成“冰冻骨盆”。

720. 女性，30岁，月经4～5/22～25天，连续流产4次，基础体温为不典型双相型曲线，上升缓慢，幅度偏低，升高时间仅维持9～10日即下降，应考虑为
   A. 正常
   B. 无排卵性功血
 ->C. 黄体功能不足
   D. 子宫内膜不规则脱落
   E. 子宫内膜炎

721. 女，28岁，人工流产术后半年，阴道不规则出血1个月。查HCG阳性，肺CT提示双肺多发结节影，肝多个异常回声，转移可能性大。诊断绒癌肝、肺转移，其临床分期为
 ->A. Ⅳ期
   B. Ⅲ期
   C. Ⅱ期
   D. Ⅰ期
   E. 以上都不是

722. 产妇，23岁，会阴侧切分娩一足月儿，体重3500 g，现为产后25小时，会阴水肿明显，T37.4℃，不应采取的措施是
   A. 保持会阴清洁，会阴擦洗2～3次/天
   B. 50%硫酸镁湿敷外阴
   C. 红外线照射
 ->D. 因会阴部水肿，为避免愈合不良，可于产后10天拆线
   E. 若伤口感染，可提前拆线
解析：会阴部切口缝合约在3～5天内自行愈合，应在术后第5天拆线，若伤口感染，可提前拆线，产后24小时后可给予红外线照射会阴部刀口。

723. 女性，25岁。人工流产后1个月发热、腹痛，阴道分泌物多，虽经抗感染治疗，上述症状却日益加重，伴大便感，妇科检查：后穹隆触及囊性肿块张力高，触痛明显，子宫难触清，拟诊急性盆腔炎，盆腔脓肿形成，下列哪项是最佳治疗方案
   A. 抗生素静脉、肌内同时给药
   B. 给予抗生素，取半卧位
   C. 立即剖腹探查切除子宫及脓肿，保留附件
 ->D. 给予抗生素，后穹隆切开引流
   E. 立即经腹手术切除脓肿并给予抗生素

724. 初产妇，26岁，41周妊娠，阴道检查示宫颈口完全扩张，宫颈管完全消失，胎头颅骨最低点达坐骨棘平面，且为枕后位，3小时产程无进展。下列说法正确的是
   A. 继续观察等待自然分娩
   B. 给予催产素加强宫缩
 ->C. 应剖宫产结束分娩.
   D. 可以施行胎吸手术
   E. 宫底加压娩出胎儿

725. 已婚妇女性，月经规律，末次月经为2002年3月10日，于2002年4月18日出现下腹痛，逐渐加重，伴肛门坠胀感。查体：移动性浊音可疑，子宫饱满，宫颈举痛，左附件区扪及包块。尿妊娠试验阳性，应首选以下哪项处理
   A. 血β-hCG
 ->B. 阴道后穹隆穿刺
   C. 剖腹探查
   D. 宫腔镜检查
   E. 输液观察
解析：阴道后穹隆穿刺抽出不凝血可确诊有内出血，进一步行剖腹探查。

726. 28岁，阴道分泌物增多6日，伴外阴瘙痒，查外阴黏膜无明显异常，阴道黏膜无充血，阴道分泌物稀薄，灰白色，均匀一致，宫颈光滑，无充血。分泌物检查找到线索细胞，初步诊断为细菌性阴道病，恰当的治疗方法为
   A. 咪康唑栓剂200 mg，阴道放置，连用7日
 ->B. 甲硝唑0.4 g口服每日2次，连用7日
   C. 伊曲康唑每次200 mg，每日1次，连用3～5日
   D. 甲硝唑2 g，单次口服
   E. 局部或口服雌激素制剂

727. 患者34岁，继发闭经1年，伴有潮热出汗，心烦，血FSH＞40U/L.闭经原因可能是
 ->A. 卵巢功能早衰
   B. 子宫内膜结核
   C. 垂体性闭经
   D. 下丘脑性闭经
   E. 精神因素

728. 女性，30岁，根据症状和体征初步诊断为异位妊娠流产或破裂，下一步对患者最有助于诊断和治疗方案选择的检查应是
   A. 尿妊娠试验（+）
   B. 腹部叩诊移动性浊音（+）
 ->C. 后穹隆穿刺抽出不凝血
   D. 妇检宫颈举痛
   E. 腹部压痛、反跳痛
解析：阴道后穹隆穿刺抽出暗红色不凝固血液，可确诊有盆腔内出血，此时可有移动性浊音（+）、宫颈举痛、腹部压痛、反跳痛，但反之不能确诊有盆腔内出血。后穹隆穿刺抽出不凝血是手术指征之一。

729. 女性，35岁，月经平素规律，阴道不规则流血半月，无腹痛。查体：宫颈光滑，阴道内咖啡色液体，来自宫腔。B超未见明显异常，尿HCG（+）。下述诊断中最可能的是
   A. 自然流产
   B. 子宫内膜息肉
   C. 葡萄胎
 ->D. 功血
   E. 多囊卵巢

730. 女性，28岁，结婚4年不孕，月经规律，量中等，痛经2年，需服止痛药物。末次月经近干净时突然发生剧烈性下腹痛就诊。妇科检查：子宫后位稍大活动欠佳，双侧卵巢增大约6cm×4cm×4cm大小，右侧宫骶韧带可触及2个黄豆大小硬结，有触痛。本例应首先考虑
   A. 肿物蒂扭转
 ->B. 巧克力囊肿破裂
   C. 并发急性盆腔炎
   D. 异位妊娠
   E. 痛经

731. 女，30岁，因“停经7个月，上腹痛伴恶心呕吐3天”入院，体查：体温38.5℃，脉搏115次/分，呼吸20次/分，血压120/74 mmHg，上腹部有压痛、反跳痛及肌紧张，移动性浊音（+），肠鸣音弱。以下哪些化验检查最有意义
   A. 血常规
   B. 空腹血糖
   C. 血清钙
 ->D. 血清淀粉酶
   E. CRP

732. 孕妇，38岁，G<sub>1</sub>P<sub>0</sub>，孕16周出现口渴，24周糖筛查，血糖值为10.5 mmol/L，病人需要进一步进行的检查是
   A. 尿糖检测
   B. 空腹血糖
 ->C. OGTT
   D. 尿酮体
   E. 羊水穿刺

733. 女，28岁，产后半年，放置宫内节育器后6日出现发热，下腹痛，应首先排除
   A. 阑尾炎
   B. 节育器移位
   C. 肿瘤扭转
   D. 上呼吸道感染
 ->E. 盆腔炎性疾病

734. 女性，44岁，外阴奇痒2年，查体阴蒂处皮肤色素略减退，双侧大阴唇表面粗糙、呈苔藓样变，可见抓痕、皲裂。最可能的诊断是
   A. 阴风病
   B. 阴蒂癌
 ->C. 外阴鳞状上皮细胞增生
   D. 外阴神经性皮炎
   E. 外阴硬化性苔藓

735. 女性，36岁，产后进行性痛经2年，妇科检查：子宫正常大小，中位，活动差，双侧宫骶韧带增粗，扪及数个结节，右侧附件增厚，轻压痛。诊断可能性最大的是
   A. 慢性盆腔炎
   B. 盆腔结核
   C. 附件炎
   D. 卵巢肿瘤
 ->E. 子宫内膜异位症

736. 女性，27岁，外阴瘙痒、白带量多1周。妇科检查：阴道黏膜充血，多量豆渣样白带，宫颈光滑，子宫大小正常，双附件无异常。该患者最可能诊断
   A. 滴虫性阴道炎
   B. 细菌性阴道病
   C. 沙眼衣原体阴道炎
   D. 淋病性阴道炎
 ->E. 念珠菌阴道炎

737. 已婚妇女，26岁。停经49天，出现下腹坠胀感2日。查体：子宫稍大呈球形。本例最可能的诊断不包括
   A. 早期妊娠
   B. 宫腔积血
   C. 子宫肌瘤
   D. 子宫腺肌病
 ->E. 卵巢囊肿

738. 经产妇，38岁，既往多次流产史，本次妊娠经阴分娩，胎儿娩出30分钟胎盘未娩出，阴道持续出血，量多色较暗，有血块，按摩子宫效果不佳，阴道检查胎盘少部分剥离，徒手剥离困难，下列哪项处理不合适
   A. 开放通道输液，纠正休克
 ->B. 尽可能钳夹出大块胎盘组织
   C. 应用抗生素预防感染
   D. 估计出血量，必要时输血
   E. 完善检查，必要时行子宫切除术
解析：根据该产妇病史及检查考虑为胎盘植入，胎盘剥离困难时不可强行剥离。钳夹出大块胎盘组织会导致胎盘断面出血，阴道流血增加。

739. 孕妇32岁，G<sub>2</sub>P<sub>0</sub>，孕34周，单绒毛膜双羊膜囊双胎，目前无明显并发症，两胎儿生长发育正常，给予孕妇建议分娩孕周通常不超过
   A. 38周
   B. 39周
   C. 40周
 ->D. 37周
   E. 36周

740. 女性，34岁，面部痤疮1年，逐渐加重，伴多毛，内分泌检查示睾酮增高，最适合选用的药物是
 ->A. 炔雌醇环丙孕酮片
   B. 溴隐亭
   C. 尼尔雌醇
   D. 甲羟孕酮
   E. 二甲双胍
解析：患者出现痤疮、多毛，均为睾酮增高的表现，因此应选用降低雄激素的药物。炔雌醇环丙孕酮片（达英-35）通过反馈作用降低LH的高频高幅异常分泌，使卵巢源性雄激素减少。同时炔雌醇环丙孕酮所含有的醋酸环丙孕酮可有效对抗雄激素，抑制内源性雄激素与受体结合及5α还原酶的活性，抑制毛囊雄激素受体生成而减少毛发生长，改善多毛症状。

741. 女性，50岁，月经欠规律半年，现停经3个月后阴道流血2天，无腹痛，晕厥1小时来诊。查体：BP90/50 mmHg，神志清，贫血貌，宫颈光滑，子宫略大，腹部无压痛。首选的措施和检查是
   A. B超检查
 ->B. 血常规+补液+诊刮
   C. 尿HCG
   D. 补液+阴道镜检查
   E. 血常规+宫腔镜
解析：围绝经期阴道大量流血，宫颈外观正常，出现失血性休克，首先考虑完善必要检查如血常规、凝血功能，补液，稳定生命体征，然后诊刮，既可明确诊断，又可以迅速止血。

742. 女性，49岁，近1年来月经周期缩短，经期延长，此次经量多且持续10日，检查子宫稍大、稍软。本例止血应选择
   A. 给予氨甲苯酸
   B. 给予雌激素
   C. 给予大剂量黄体酮
   D. 给予大剂量丙酸睾酮
 ->E. 立即行刮宫术

743. 下列哪项不是外生殖器男性化的病因
   A. 真两性畸形
   B. 先天性肾上腺皮质增生
   C. 雄激素不敏感综合征
   D. 孕早期服用雄激素
 ->E. MRKH

744. 女性，32岁，孕18周，产前检查时，发现非梅毒螺旋体抗原试验USR阳性，为明确诊断，需进一步做下列哪项检查
   A. 宫颈涂片细胞学检查
   B. 白带常规检查
   C. 快速血浆反应素环状卡片试验
 ->D. 梅毒螺旋体血凝试验
   E. 病变组织的活检

745. 现孕33周，患者轻微活动后自觉心悸、气短，夜间自觉胸闷多次坐起呼吸，睡眠差。入院后控制心力衰竭后行剖宫产，术后的治疗不包括以下
   A. 严格控制出入量
   B. 三代头孢抗感染治疗
 ->C. 麦角新碱促宫缩治疗
   D. 低分子肝素预防血栓形成
   E. 不宜哺乳，应退奶

746. 病例：58岁，女性，绝经6年，腹胀腹痛2周，发现盆腔包块5天。2周前患者感到腹胀，并发现腹部逐渐隆起，偶有隐痛，但可缓解，曾去医院就诊，B超检查发现腹水和盆腔包块。发病后无恶心呕吐、腹泻和里急后重。绝经6年，无绝经后出血。体检：全腹稍隆起，无明显压痛、反跳痛和肌紧张，移动性浊音阳性。妇科检查：外阴阴道未见异常，子宫萎缩，盆腔内似可及一10 cm大小的囊实性包块，表面结节感，固定于子宫后方。三合诊子宫直肠窝可及无痛结节，直肠黏膜尚光滑。上述病例最可能的诊断是
   A. 子宫肌瘤
 ->B. 卵巢上皮癌
   C. 盆腔脓肿
   D. 卵巢恶性生殖细胞肿瘤
   E. 胃肠道肿瘤

747. 患者女性25岁，未婚有性生活，孕2产0。近半年有不洁性生活史，阴道脓性分泌物10天就诊，查体发现宫颈口有黏液脓性分泌物流出，子宫体轻度压痛，左附件轻压痛。宫颈沙眼衣原体核酸检测（+）。女性生殖道衣原体的主要蔓延途径是
   A. 直接蔓延
   B. 间接接触传播
   C. 经淋巴传播
   D. 经血循环传播
 ->E. 沿生殖道黏膜上行蔓延

748. 女，25岁，诊断为绒毛膜癌，下列治疗方法中，不正确的是
   A. 一般先行化疗
   B. 以化疗为主
   C. 高危患者选择联合化疗方案
   D. 阴道转移病灶一般可通过化疗治愈，不需要手术
 ->E. 如果病变侵犯子宫肌层，应当行全子宫切除术

749. 女性，29岁，原发不孕3年。基础体温呈单相型，经前5天取宫颈黏液，其特征应是
   A. 量少黏稠
   B. 量少稀薄
   C. 量多黏稠
 ->D. 量多稀薄
   E. 量极少，不易取出

750. 女，27岁，外阴瘙痒伴阴道分泌物增多10余日，妇科检查发现患者外阴及宫颈阴道部多个散在鸡冠样突起，HPV核酸检查示HPV 11型阳性，余HPV型均阴性。本例诊断应首先考虑
   A. 宫颈癌
   B. 淋病
 ->C. 尖锐湿疣
   D. 外阴癌
   E. 梅毒

751. 女性，50岁，普查宫颈细胞涂片为巴氏Ⅲ级，宫颈多点活检病理为CINⅢ级，应首选
   A. 消炎后复查宫颈细胞学
   B. 消炎后阴道镜检查
   C. 消炎后复查宫颈活检病理
 ->D. 宫颈锥形切除
   E. 切除子宫+双附件

752. 孕妇，25岁，现孕29周，3周前淋雨后出现咳嗽咳痰，未注意，症状逐渐加重，出现呼吸困难入院。目前考虑诊断为
   A. 妊娠合并支气管哮喘
   B. 妊娠合并重症肺炎
   C. 妊娠合并肺脓肿
   D. 妊娠合并肺结核
 ->E. 妊娠合并支气管炎

753. 女性，40岁，自觉外阴痒3年，曾查一次白带常规念珠菌阳性，一直按念珠菌性阴道病治疗，效果差。检查发现双小阴唇萎缩，阴道口缩小，会阴肛周色素减退，阴道分泌物较少，最可能的诊断是
   A. 难治性念珠菌性阴道病
   B. 非特异性外阴炎
   C. 外阴鳞状上皮细胞增生
   D. 外阴神经性皮炎
 ->E. 外阴硬化性苔藓

754. 女性，29岁，欲妊娠3年未孕，近2年来，月经量多，无明显痛经，G<sub>1</sub>P<sub>0</sub>。妇科检查：子宫正常大小，左侧附件区触及一囊实性包块，大小约5 cm×6 cm×6 cm，后弯隆可触及痛性结节，首选考虑的诊断是
   A. 子宫肌瘤
   B. 子宫腺肌病
 ->C. 子宫内膜异位症
   D. 输卵管卵巢癌
   E. 原发痛经

755. 已婚女性，停经56天，恶心、呕吐、不能进食8天，2天前出现眼肌麻痹、躯干共济失调和遗忘性精神症状，此时应立即终止妊娠，并大剂量补充
 ->A. 维生素B<sub>1</sub>
   B. 维生素B<sub>6</sub>
   C. 维生素B<sub>12</sub>
   D. 维生素C
   E. 维生素E
解析：眼肌麻痹、躯干共济失调和遗忘性精神症状是Wernicke脑病的主要特征。

756. 患者，54岁，绝经2年，阴道流血1个月，外阴、阴道萎缩不明显，宫颈光滑，子宫正常大，右侧触及8cm×6cm×4cm大小韧性椭圆形包块，稍活动，左附件正常，阴道细胞涂片提示雌激素水平高度影响，分段诊断性刮宫，子宫内膜活检清理切片为子宫内膜腺囊性增生，颈管内膜未见异常，此病首先应考虑为
   A. 功能失调性子宫出血
   B. 卵巢皮样囊肿
   C. 卵巢子宫内膜异位囊肿
 ->D. 卵巢颗粒细胞瘤
   E. 子宫内膜癌

757. 初产妇26岁，停经39周，无明显诱因出现阴道流液48小时，无明显腹痛入院，体温37.8℃，宫颈Bishop评分5分，阴道分泌物有异常臭味，宫体轻压痛。入院后处理正确的是
   A. 给予抗生素预防感染，等待自然临产
 ->B. 抗生素控制感染，准备剖宫产
   C. B超检查，如有羊水量过少可以给予羊膜腔注液
   D. 羊膜腔穿刺，胎肺成熟情况
   E. 排除头盆不称后，给予催产素引产
解析：胎膜早破者破膜时间；48小时，羊水污染、宫内感染等的发生率增加。该患者破膜48小时仍未临产，且宫颈不成熟，已有发热表现，阴道分泌物有异常臭味，宫体轻压痛，可疑子宫内膜感染。为减少母儿并发症，应尽快剖宫产结束妊娠。

758. 女性，30岁，阴道分泌物增多伴外阴瘙痒5天，查体外阴及阴道黏膜无明显异常，阴道分泌物灰白色，稀薄，均匀一致，首选的辅助检查是
   A. 生理盐水悬滴法查阴道分泌物滴虫
   B. 分泌物查真菌
 ->C. 分泌物查找线索细胞
   D. 分泌物细菌培养
   E. 阴道脱落细胞学检查

759. 初产妇，35岁，孕42周，临产10小时，检查胎心率120次/分，ROA，宫口开大3 cm，有羊膜囊感，先露平棘，B超示：双顶径9.1 cm，羊水深度2.5 cm，下列哪项处理方式合理
   A. 静脉点滴小剂量缩宫素
 ->B. 人工破膜
   C. 温肥皂水灌肠
   D. 左侧卧位、吸氧、输液
   E. 立即行剖宫产

760. 30岁，G<sub>1</sub>P<sub>0</sub>。孕37+2周，已确诊为前置胎盘，出血多，血压90/60 mmHg，宫口开大4 cm，头棘上2 cm，胎心尚好，应选
   A. 头皮钳术
   B. 人工破膜术
   C. 胎头吸引术
 ->D. 剖宫产术
   E. 产钳术
解析：前置胎盘剖宫产术指征：孕妇反复大量出血致贫血甚至休克者；胎龄达36周以后；胎儿成熟度检查提示胎儿肺成熟者。

761. 女性，25岁，妊娠5个月，午餐后出现转移性右下腹痛2 h就诊，有轻微发热，根据目前诊断，不宜采用的治疗措施是
   A. 行阑尾切除术
   B. 围手术期加用黄体酮
 ->C. 手术切口应偏低
   D. 尽量不用腹腔引流
   E. 可应用广谱抗生素

762. 未婚女性，20岁，身高150 cm，第二性征发育不良，月经从未来潮，染色体核型为45，XO，该患者闭经属于
   A. 继发性闭经
   B. 子宫性闭经
 ->C. 卵巢性闭经
   D. 垂体性闭经
   E. 下丘脑性闭经

763. 33岁，宫内孕32周，因不慎跌倒撞到下腹部，阴道少量出血1天入院，检查宫底耻骨上29 cm，胎心好，无明显宫缩及压痛，胎头高浮，B超示胎盘位于子宫前壁，胎盘与肌壁间局部，少量液性暗区，最可能诊断为
   A. 低置性前置胎盘
   B. 部分性前置胎盘
   C. 轻型胎盘早剥
   D. 胎盘边缘血窦破裂
 ->E. 胎盘后血肿

764. 女性，24岁，孕22周，外阴发现结节3天，妇科检查：外阴小阴唇内侧、阴唇后联合处及肛周见数个小菜花赘生物，质硬，5%醋酸涂抹病灶后呈白色。本例最可能的诊断是
   A. 巴士腺囊肿
   B. 毛囊炎
   C. 妊娠合并梅毒
 ->D. 妊娠合并尖锐湿疣
   E. 炎性假疣

765. 某患者产后5个月，突然抽搐，CT证实为颅内占位，手术后病理为绒癌脑转移，为进一步治疗，鞘内注射化疗药首选
   A. 5-FU
 ->B. MTX
   C. KSM
   D. CTX
   E. VCR

766. 35岁女性，查体发现子宫颈肥大，宫颈细胞学检查未见异常。其治疗正确的是
